row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,2.218.700.000.000,5.000.000.000,464.423.883.223,52.672.253.961,665.897.682.049,3.406.693.819.233,2218700000000.0,5000000000.0,464423883223.0,52672253961.0,665897682049.0,3406693819233.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,664.319.264.990,96.037.145.132,760.356.410.122,,,,664319264990.0,96037145132.0,760356410122.0
Mua thêm lợi ích từ cổ đông không kiểm soát,Năm trước > Mua thêm lợi ích từ cổ đông không kiểm soát,Mua thêm lợi ích từ cổ đông không kiểm soát,-,-,-,(96.097.849.374),(137.264.713.224),(233.362.562.598),,,,-96097849374.0,-137264713224.0,-233362562598.0
Công ty con mua cổ phiếu quỹ,Năm trước > Công ty con mua cổ phiếu quỹ,Công ty con mua cổ phiếu quỹ,-,-,-,(2.951.755.793),(3.268.246.942),(6.220.002.735),,,,-2951755793.0,-3268246942.0,-6220002735.0
Phân phối lợi nhuận trong năm,Năm trước > Phân phối lợi nhuận trong năm,Phân phối lợi nhuận trong năm,-,-,-,(245.000.000.000),-,(245.000.000.000),,,,-245000000000.0,,-245000000000.0
Công ty con chia cổ tức,Năm trước > Công ty con chia cổ tức,Công ty con chia cổ tức,-,-,-,-,(75.305.491.000),(75.305.491.000),,,,,-75305491000.0,-75305491000.0
Giảm tỷ lệ sở hữu tại công ty con không mất quyền kiểm soát,Năm trước > Giảm tỷ lệ sở hữu tại công ty con không mất quyền kiểm soát,Giảm tỷ lệ sở hữu tại công ty con không mất quyền kiểm soát,-,-,-,(717.754.542),65.618.704.542,64.900.950.000,,,,-717754542.0,65618704542.0,64900950000.0
Trích quỹ khen thưởng phúc lợi,Năm trước > Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,(20.191.460.416),(2.998.628.581),(23.190.088.997),,,,-20191460416.0,-2998628581.0,-23190088997.0
Trích thù lao Hội đồng Quản trị,Năm trước > Trích thù lao Hội đồng Quản trị,Trích thù lao Hội đồng Quản trị,-,-,-,(241.643.072),(348.356.928),(590.000.000),,,,-241643072.0,-348356928.0,-590000000.0
Thay đổi tỷ lệ sở hữu tại công ty con do sáp nhập,Năm trước > Thay đổi tỷ lệ sở hữu tại công ty con do sáp nhập,Thay đổi tỷ lệ sở hữu tại công ty con do sáp nhập,-,-,-,9.020.555.791,(9.020.555.791),-,,,,9020555791.0,-9020555791.0,
Tăng/(giảm) khác,Năm trước > Tăng/(giảm) khác,Tăng/(giảm) khác,-,-,(55.261.964),-,-,(55.261.964),,,-55261964.0,,,-55261964.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,2.218.700.000.000,5.000.000.000,464.368.621.259,360.811.611.545,599.347.539.257,3.648.227.772.061,2218700000000.0,5000000000.0,464368621259.0,360811611545.0,599347539257.0,3648227772061.0
