row_label_raw,row_label_full,Bên liên quan > Tổng Công ty Cổ phần Thiết bị điện Việt nam,Mối quan hệ > Công ty mẹ,"Nội dung nghiệp vụ > Mua vật tư, hàng hóa, dịch vụ > Đi vay > Trả tiền vay > Ký quỹ mua nguyên vật liệu > Phân phối lợi nhuận cho chủ sở hữu > Chi phí lãi vay > Lãi ký quỹ được nhận > Nhận chuyển nhượng phần vốn góp > Trả trước tiền thuê cơ sở hạ tầng dài hạn > Lãi đặt cọc mua phần vốn góp nhận được > Doanh thu cung cấp dịch vụ",Đơn vị tính: VND > Năm nay > 2.774.275.949.925 > 2.947.671.008.134 > 2.664.566.662.080 > 160.000.000.000 > 427.487.522.000 > 57.352.731.750 > 42.616.164.381 > 69.285.387.977 > 135.880.799.604 > 11.596.273.972 > 120.000.000,Đơn vị tính: VND > Năm trước > 2.432.478.367.358 > 1.324.800.000.000 > 1.781.475.000.000 > 540.000.000.000 > 245.000.000.000 > 31.400.465.754 > 20.514.439.017 > - > 45.000.000,numeric__Mối quan hệ > Công ty mẹ,"numeric__Nội dung nghiệp vụ > Mua vật tư, hàng hóa, dịch vụ > Đi vay > Trả tiền vay > Ký quỹ mua nguyên vật liệu > Phân phối lợi nhuận cho chủ sở hữu > Chi phí lãi vay > Lãi ký quỹ được nhận > Nhận chuyển nhượng phần vốn góp > Trả trước tiền thuê cơ sở hạ tầng dài hạn > Lãi đặt cọc mua phần vốn góp nhận được > Doanh thu cung cấp dịch vụ",numeric__Đơn vị tính: VND > Năm nay > 2.774.275.949.925 > 2.947.671.008.134 > 2.664.566.662.080 > 160.000.000.000 > 427.487.522.000 > 57.352.731.750 > 42.616.164.381 > 69.285.387.977 > 135.880.799.604 > 11.596.273.972 > 120.000.000,numeric__Đơn vị tính: VND > Năm trước > 2.432.478.367.358 > 1.324.800.000.000 > 1.781.475.000.000 > 540.000.000.000 > 245.000.000.000 > 31.400.465.754 > 20.514.439.017 > - > 45.000.000
Công ty Cổ phần Phú Thạnh Mỹ,Công ty Cổ phần Phú Thạnh Mỹ,Công ty Cổ phần Phú Thạnh Mỹ,Công ty cùng Tập đoàn,Tiền thu được từ bán trái phiếu,-,104.993.490.390,,,,104993490390.0
Công ty Cổ phần Phú Thạnh Mỹ,Công ty Cổ phần Phú Thạnh Mỹ,Công ty Cổ phần Phú Thạnh Mỹ,Công ty cùng Tập đoàn,"Doanh thu bán hàng hóa, thành phẩm",44.567.428.014,23.553.855.735,,,44567428014.0,23553855735.0
Công ty Cổ phần Chứng khoán VIX [“trước đẩy là Công ty Cổ phần Chứng khoán IB”],Công ty Cổ phần Chứng khoán VIX [“trước đẩy là Công ty Cổ phần Chứng khoán IB”],Công ty Cổ phần Chứng khoán VIX [“trước đẩy là Công ty Cổ phần Chứng khoán IB”],Bên liên quan khác,Tiền thu được từ bán trái phiếu,22.675.068.504,133.815.232.850,,,22675068504.0,133815232850.0
Công ty TNHH S.A.S - CTAMAD,Công ty TNHH S.A.S - CTAMAD,Công ty TNHH S.A.S - CTAMAD,Công ty liên kết của Nhóm Công ty,Cổ tức được chia,16.100.000.000,64.400.000.000,,,16100000000.0,64400000000.0
Tổng Công ty Thiết bị Điện Đông Anh - CTCP,Tổng Công ty Thiết bị Điện Đông Anh - CTCP,Tổng Công ty Thiết bị Điện Đông Anh - CTCP,Công ty liên kết của Nhóm Công ty,Mua hàng hóa và dịch vụ,223.233.426.770,158.174.067.291,,,223233426770.0,158174067291.0
Tổng Công ty Thiết bị Điện Đông Anh - CTCP,Tổng Công ty Thiết bị Điện Đông Anh - CTCP,Tổng Công ty Thiết bị Điện Đông Anh - CTCP,Công ty liên kết của Nhóm Công ty,"Doanh thu bán hàng hóa, dịch vụ",100.118.497.893,52.607.092.584,,,100118497893.0,52607092584.0
Tổng Công ty Thiết bị Điện Đông Anh - CTCP,Tổng Công ty Thiết bị Điện Đông Anh - CTCP,Tổng Công ty Thiết bị Điện Đông Anh - CTCP,Công ty liên kết của Nhóm Công ty,Cổ tức nhận được,10.549.744.500,10.549.744.500,,,10549744500.0,10549744500.0
Công ty Dây đồng Việt Nam CFT,Công ty Dây đồng Việt Nam CFT,Công ty Dây đồng Việt Nam CFT,Công ty cùng Tập đoàn tới ngày 28 tháng 8 năm 2020,Mua nguyên vật liệu & gia công đồng,62.689.427.484,752.204.428.909,,,62689427484.0,752204428909.0
Công ty Dây đồng Việt Nam CFT,Công ty Dây đồng Việt Nam CFT,Công ty Dây đồng Việt Nam CFT,Công ty cùng Tập đoàn tới ngày 28 tháng 8 năm 2020,"Doanh thu bán hàng hóa, thành phẩm",887.768.971.075,43.984.327.968,,,887768971075.0,43984327968.0
Công ty Cổ phần Chế tạo Born Hải Dương,Công ty Cổ phần Chế tạo Born Hải Dương,Công ty Cổ phần Chế tạo Born Hải Dương,Cùng thành viên HĐQT đến ngày 30 tháng 6 năm 2020,"Doanh thu bán hàng hóa, thành phẩm và cung cấp dịch vụ",35.741.568.363,44.187.551.639,,,35741568363.0,44187551639.0
Tổng Công ty Viglacera - CTCP,Tổng Công ty Viglacera - CTCP,Tổng Công ty Viglacera - CTCP,Bên liên quan khác,Cổ tức nhận được,95.810.000.000,57.100.000.000,,,95810000000.0,57100000000.0
