row_label_raw,row_label_full,col_0,Công ty Vihem (*),Công ty MEE,Công ty Thibidi,Đơn vị tính: VND Tổng cộng,numeric__Công ty Vihem (*),numeric__Công ty MEE,numeric__Công ty Thibidi,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,22.071.631.237,166.685.653.795,27.734.837.846,216.492.122.878,22071631237.0,166685653795.0,27734837846.0,216492122878.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,22.071.631.237,166.685.653.795,27.734.837.846,216.492.122.878,22071631237.0,166685653795.0,27734837846.0,216492122878.0
Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,,,,
Số đầu năm,Phân bổ lũy kế: > Số đầu năm,Số đầu năm,3.153.090.176,16.668.565.380,4.894.383.151,24.716.038.707,3153090176.0,16668565380.0,4894383151.0,24716038707.0
Phân bổ trong năm,Phân bổ lũy kế: > Phân bổ trong năm,Phân bổ trong năm,2.522.472.141,16.668.565.380,3.262.922.100,22.453.959.621,2522472141.0,16668565380.0,3262922100.0,22453959621.0
Số cuối năm,Phân bổ lũy kế: > Số cuối năm,Số cuối năm,5.675.562.317,33.337.130.760,8.157.305.251,47.169.998.328,5675562317.0,33337130760.0,8157305251.0,47169998328.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,18.918.541.061,150.017.088.415,22.840.454.695,191.776.084.171,18918541061.0,150017088415.0,22840454695.0,191776084171.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,16.396.068.920,133.348.523.035,19.577.532.595,169.322.124.550,16396068920.0,133348523035.0,19577532595.0,169322124550.0
