row_label_raw,row_label_full,Bên liên quan > Phải trả khác(Thuyết minh số 20) > Tổng Công ty Cổ phần Thiết bị Điện Việt Nam,Mối quan hệ > Phải trả khác(Thuyết minh số 20) > Công ty mẹ,Nội dung nghiệp vụ > Phải trả khác(Thuyết minh số 20) > Lãi vay phải trả,Số cuối năm > Phải trả khác(Thuyết minh số 20) > 26.850.321.654,Đơn vị tính: VND Số đầu năm > Phải trả khác(Thuyết minh số 20) > 27.945.205,numeric__Mối quan hệ > Phải trả khác(Thuyết minh số 20) > Công ty mẹ,numeric__Nội dung nghiệp vụ > Phải trả khác(Thuyết minh số 20) > Lãi vay phải trả,numeric__Số cuối năm > Phải trả khác(Thuyết minh số 20) > 26.850.321.654,numeric__Đơn vị tính: VND Số đầu năm > Phải trả khác(Thuyết minh số 20) > 27.945.205
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,26.850.321.654,27.945.205,,,26850321654.0,27945205.0
Vay(Thuyết minh số 22),Vay(Thuyết minh số 22),Vay(Thuyết minh số 22),Vay(Thuyết minh số 22),Vay(Thuyết minh số 22),Vay(Thuyết minh số 22),Vay(Thuyết minh số 22),,,,
Tổng Công ty Cổ phần Thiết bị Điện Việt Nam,Vay(Thuyết minh số 22) > Tổng Công ty Cổ phần Thiết bị Điện Việt Nam,Tổng Công ty Cổ phần Thiết bị Điện Việt Nam,Công ty mẹ,Vay ngắn hạn,488.104.346.054,205.000.000.000,,,488104346054.0,205000000000.0
TỔNG CỘNG,Vay(Thuyết minh số 22) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,488.104.346.054,205.000.000.000,,,488104346054.0,205000000000.0
