row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Bản quyền,Phần mềm máy tính,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Bản quyền,numeric__Phần mềm máy tính,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,50.991.285.959,-,9.165.150.168,60.156.436.127,50991285959.0,,9165150168.0,60156436127.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,215.763.961,-,970.185.000,1.185.948.961,215763961.0,,970185000.0,1185948961.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,-,40.321.778.266,38.158.235.450,78.480.013.716,,40321778266.0,38158235450.0,78480013716.0
- Tăng do hợp nhất kinh doanh,Nguyên giá: > - Tăng do hợp nhất kinh doanh,- Tăng do hợp nhất kinh doanh,-,-,376.327.560,376.327.560,,,376327560.0,376327560.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(1.725.288.787),(1.725.288.787),,,-1725288787.0,-1725288787.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,51.207.049.920,40.321.778.266,46.944.609.391,138.473.437.577,51207049920.0,40321778266.0,46944609391.0,138473437577.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,-,-,3.614.220.865,3.614.220.865,,,3614220865.0,3614220865.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,11.662.840.293,-,6.034.959.116,17.697.799.409,11662840293.0,,6034959116.0,17697799409.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế: > - Hao mòn trong năm,- Hao mòn trong năm,1.032.762.116,504.022.227,8.426.236.315,9.963.020.658,1032762116.0,504022227.0,8426236315.0,9963020658.0
- Tăng do hợp nhất kinh doanh,Giá trị hao mòn lũy kế: > - Tăng do hợp nhất kinh doanh,- Tăng do hợp nhất kinh doanh,-,-,376.327.560,376.327.560,,,376327560.0,376327560.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(1.680.467.241),(1.680.467.241),,,-1680467241.0,-1680467241.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,12.695.602.409,504.022.227,13.157.055.750,26.356.680.386,12695602409.0,504022227.0,13157055750.0,26356680386.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,39.328.445.666,-,3.130.191.052,42.458.636.718,39328445666.0,,3130191052.0,42458636718.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,38.511.447.511,39.817.756.039,33.787.553.641,112.116.757.191,38511447511.0,39817756039.0,33787553641.0,112116757191.0
