row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,843.611.549.812,972.826.457.234,843611549812.0,972826457234.0
Thuế TNDN theo thuế suất phổ thông áp dụng cho Nhóm Công ty,Thuế TNDN theo thuế suất phổ thông áp dụng cho Nhóm Công ty,Thuế TNDN theo thuế suất phổ thông áp dụng cho Nhóm Công ty,168.722.309.962,194.565.291.447,168722309962.0,194565291447.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,
Chi phí không được khấu trừ khác,Các khoản điều chỉnh: > Chi phí không được khấu trừ khác,Chi phí không được khấu trừ khác,9.462.941.529,19.211.440.744,9462941529.0,19211440744.0
Chi phí lãi vay không được khấu trừ,Các khoản điều chỉnh: > Chi phí lãi vay không được khấu trừ,Chi phí lãi vay không được khấu trừ,16.280.522.321,6.757.699.477,16280522321.0,6757699477.0
Phân bổ lợi thế thương mại,Các khoản điều chỉnh: > Phân bổ lợi thế thương mại,Phân bổ lợi thế thương mại,4.490.791.924,-,4490791924.0,
Điều chỉnh thuế TNDN trích thiếu trong những năm trước,Các khoản điều chỉnh: > Điều chỉnh thuế TNDN trích thiếu trong những năm trước,Điều chỉnh thuế TNDN trích thiếu trong những năm trước,456.477.990,1.636.296.185,456477990.0,1636296185.0
Điều chỉnh thuế TNDN trích thừa trong những năm trước (*),Các khoản điều chỉnh: > Điều chỉnh thuế TNDN trích thừa trong những năm trước (*),Điều chỉnh thuế TNDN trích thừa trong những năm trước (*),(4.633.877.060),-,-4633877060.0,
Các bút toán điều chỉnh hợp nhất không chịu thuế,Các khoản điều chỉnh: > Các bút toán điều chỉnh hợp nhất không chịu thuế,Các bút toán điều chỉnh hợp nhất không chịu thuế,(2.437.550.883),5.528.987.638,-2437550883.0,5528987638.0
Lãi từ giao dịch mua rè,Các khoản điều chỉnh: > Lãi từ giao dịch mua rè,Lãi từ giao dịch mua rè,(4.272.984.321),-,-4272984321.0,
"Cổ tức, lợi nhuận được chia","Các khoản điều chỉnh: > Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",(16.855.788.687),(14.399.795.700),-16855788687.0,-14399795700.0
"Thuế TNDN được miễn, giảm","Các khoản điều chỉnh: > Thuế TNDN được miễn, giảm","Thuế TNDN được miễn, giảm",(582.732.788),-,-582732788.0,
Tài sản thuế TNDN hoãn lại chưa ghi nhận liên quan đến khoản lỗ thuế,Các khoản điều chỉnh: > Tài sản thuế TNDN hoãn lại chưa ghi nhận liên quan đến khoản lỗ thuế,Tài sản thuế TNDN hoãn lại chưa ghi nhận liên quan đến khoản lỗ thuế,17.350.922.919,-,17350922919.0,
Lỗ năm trước chuyển sang,Các khoản điều chỉnh: > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,-,(829.872.679),,-829872679.0
Chi phí thuế TNDN,Các khoản điều chỉnh: > Chi phí thuế TNDN,Chi phí thuế TNDN,187.981.032.906,212.470.047.112,187981032906.0,212470047112.0
