row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi sổ,Số cuối năm > Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị ghi sổ,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi sổ,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị ghi sổ,numeric__Số đầu năm > Dự phòng
Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),103.940.061.643,103.940.061.643,-,-,-,-,103940061643.0,103940061643.0,,,,
Trái phiếu (ii),Trái phiếu (ii),Trái phiếu (ii),30.000.000.000,30.000.000.000,-,-,-,-,30000000000.0,30000000000.0,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,133.940.061.643,133.940.061.643,-,-,-,-,133940061643.0,133940061643.0,,,,
