row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay (cho vay khách hàng và các TCTD khác) triệu đồng,"Tổng tiền gửi huy động (tiền gửi của khách hàng, tiền gửi và vay các TCTD khác) triệu đồng",Các cam kết tin dụng triệu đồng,Công cụ tài chính phải sinh (Tổng giá trị hợp đồng) triệu đồng,Kinh doanh và đầu tư chứng khoán triệu đồng,numeric__Tổng dư nợ cho vay (cho vay khách hàng và các TCTD khác) triệu đồng,"numeric__Tổng tiền gửi huy động (tiền gửi của khách hàng, tiền gửi và vay các TCTD khác) triệu đồng",numeric__Các cam kết tin dụng triệu đồng,numeric__Công cụ tài chính phải sinh (Tổng giá trị hợp đồng) triệu đồng,numeric__Kinh doanh và đầu tư chứng khoán triệu đồng
Trong nước,Trong nước,Trong nước,115.095.351,152.207.941,34.529.815,162.172.927,48.296.770,115095351.0,152207941.0,34529815.0,162172927.0,48296770.0
Nước ngoài,Nước ngoài,Nước ngoài,-,10.444.081,-,-,-,,10444081.0,,,
Tổng,Tổng,Tổng,115.095.351,162.652.022,34.529.815,162.172.927,48.296.770,115095351.0,162652022.0,34529815.0,162172927.0,48296770.0
