row_label_raw,row_label_full,"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này_1","Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này_2","numeric__Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này_1","numeric__Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này_2"
Tiền gửi,Tiền gửi,Tiền gửi,(51.646),(58.964),-51646.0,-58964.0
Tiền vay,Tiền vay,Tiền vay,30.475,35.056,30475.0,35056.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,122,146,122.0,146.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,(652),(652),-652.0,-652.0
