row_label_raw,row_label_full,Ho và tên,Chức vụ,numeric__Chức vụ
Ông Nguyễn Hoàng LinhBà Nguyễn Hương Loan,Ông Nguyễn Hoàng LinhBà Nguyễn Hương Loan,Ông Nguyễn Hoàng LinhBà Nguyễn Hương Loan,Tổng Giám đốcPhó Tổng Giám đốc –Tổng Giám đốc Ngân hàng Định chế Tài chính,
Ông Nguyễn Thế Minh,Ông Nguyễn Thế Minh,Ông Nguyễn Thế Minh,Phó Tổng Giám đốc –Tổng Giám đốc Ngân hàng Doanh nghiệp,
Ông Oliver Schwarzhaupt,Ông Oliver Schwarzhaupt,Ông Oliver Schwarzhaupt,Phó Tổng Giám đốc –Giám đốc Khởi Quản lý Rủi ro,
Bà Nguyễn Thị Mỹ HạnhÔng Bùi Đức Quang,Bà Nguyễn Thị Mỹ HạnhÔng Bùi Đức Quang,Bà Nguyễn Thị Mỹ HạnhÔng Bùi Đức Quang,Tổng Giám đốc Ngân hàng Bán lẻTổng Giám đốc Ngân hàng Quản lý tín dụng,
Bà Nguyễn Thị Thu HằngBà Đình Thị Tố Uyên,Bà Nguyễn Thị Thu HằngBà Đình Thị Tố Uyên,Bà Nguyễn Thị Thu HằngBà Đình Thị Tố Uyên,Giám đốc Khởi Quản lý Tài chínhGiám đốc Khởi Chiến lược,
Ông Nguyễn Quốc KhánhÔng Nguyễn Ngọc CươngBà Lai Thanh Mai,Ông Nguyễn Quốc KhánhÔng Nguyễn Ngọc CươngBà Lai Thanh Mai,Ông Nguyễn Quốc KhánhÔng Nguyễn Ngọc CươngBà Lai Thanh Mai,Giám đốc Khởi Công nghệGiám đốc Nhân sựGiám đốc Khởi Tư vấn Pháp lý và Tuân thủ,
Ông Dương Ngọc DùngBà Nguyễn Hà Thanh,Ông Dương Ngọc DùngBà Nguyễn Hà Thanh,Ông Dương Ngọc DùngBà Nguyễn Hà Thanh,Giám đốc Khởi Marketing & Truyền thôngGiám đốc Khởi Vận hành,
Ông Samuel Anthony Dotro,Ông Samuel Anthony Dotro,Ông Samuel Anthony Dotro,Giám đốc Khởi Chuyển đổi Số,
