row_label_raw,row_label_full,CTCP Đầu tư và Cho thuê tài sản TNL – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Đầu tư và Cho thuê tài sản TNL – Bên liên quan của thành viên Hội đồng Quản trị_1,numeric__CTCP Đầu tư và Cho thuê tài sản TNL – Bên liên quan của thành viên Hội đồng Quản trị_1
Tiền gửi,Tiền gửi,Tiền gửi,(81.861),-81861.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,(400),-400.0
