row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2021,Ngày 31 tháng 12năm 2021_1,Ngày 31 tháng 12năm 2020,Ngày 31 tháng 12năm 2020_1,numeric__Ngày 31 tháng 12năm 2021,numeric__Ngày 31 tháng 12năm 2021_1,numeric__Ngày 31 tháng 12năm 2020,numeric__Ngày 31 tháng 12năm 2020_1
,,,triệu đồng,%,triệu đồng,%,,,,
"Nông làm nghiệp, thủy sản","Nông làm nghiệp, thủy sản","Nông làm nghiệp, thủy sản",681.673,"0,67",273.999,"0,35",681673.0,0.67,273999.0,0.35
Khai khoáng,Khai khoáng,Khai khoáng,276.564,"0,27",693.482,"0,87",276564.0,0.27,693482.0,0.87
Chế biến thủy hài sản,Chế biến thủy hài sản,Chế biến thủy hài sản,1.604.515,"1,58",1.155.146,"1,46",1604515.0,1.58,1155146.0,1.46
"Sản xuất, chế biến lương thực thực phẩm,đồ uống, thức ăn chăn nuôi","Sản xuất, chế biến lương thực thực phẩm,đồ uống, thức ăn chăn nuôi","Sản xuất, chế biến lương thực thực phẩm,đồ uống, thức ăn chăn nuôi",1.133.664,"1,12",1.252.804,"1,58",1133664.0,1.12,1252804.0,1.58
"Dệt may, sản xuất da dày, sản xuất trangphục","Dệt may, sản xuất da dày, sản xuất trangphục","Dệt may, sản xuất da dày, sản xuất trangphục",939.478,"0,93",740.041,"0,93",939478.0,0.93,740041.0,0.93
"Khai thác và sơ chế gỗ, chế biến gỗ, sảnxuất sản phẩm từ gỗ và làm sản khác","Khai thác và sơ chế gỗ, chế biến gỗ, sảnxuất sản phẩm từ gỗ và làm sản khác","Khai thác và sơ chế gỗ, chế biến gỗ, sảnxuất sản phẩm từ gỗ và làm sản khác",924.344,"0,91",396.753,"0,50",924344.0,0.91,396753.0,0.5
Sản xuất giấy và các sản phẩm từ giấy vain ấn,Sản xuất giấy và các sản phẩm từ giấy vain ấn,Sản xuất giấy và các sản phẩm từ giấy vain ấn,1.198.916,"1,18",242.673,"0,31",1198916.0,1.18,242673.0,0.31
"Sản xuất thuốc, hoá dược, dược liệu; caosu, nhựa, phân bón, hoá chất","Sản xuất thuốc, hoá dược, dược liệu; caosu, nhựa, phân bón, hoá chất","Sản xuất thuốc, hoá dược, dược liệu; caosu, nhựa, phân bón, hoá chất",1.471.096,"1,45",893.847,"1,13",1471096.0,1.45,893847.0,1.13
"Sản xuất vật liệu xây dựng (trừ thép, Inox,sơn, matit và các chất tương tự)","Sản xuất vật liệu xây dựng (trừ thép, Inox,sơn, matit và các chất tương tự)","Sản xuất vật liệu xây dựng (trừ thép, Inox,sơn, matit và các chất tương tự)",569.161,"0,56",480.129,"0,61",569161.0,0.56,480129.0,0.61
Sản xuất thép thành phẩm,Sản xuất thép thành phẩm,Sản xuất thép thành phẩm,104.169,"0,10",80.033,"0,10",104169.0,0.1,80033.0,0.1
Sản xuất phối thép,Sản xuất phối thép,Sản xuất phối thép,44.445,"0,04",40.396,"0,05",44445.0,0.04,40396.0,0.05
Sản xuất Inox và luyện kim khác,Sản xuất Inox và luyện kim khác,Sản xuất Inox và luyện kim khác,58.268,"0,06",28.846,"0,04",58268.0,0.06,28846.0,0.04
"Cơ khí, lập ráp, chế tạo máy móc, ô tô, xemáy","Cơ khí, lập ráp, chế tạo máy móc, ô tô, xemáy","Cơ khí, lập ráp, chế tạo máy móc, ô tô, xemáy",1.242.653,"1,22",1.299.402,"1,64",1242653.0,1.22,1299402.0,1.64
"Sản xuất điện tử, thiết bị điện, máy vi tinhquang học, thiết bị viễn thông","Sản xuất điện tử, thiết bị điện, máy vi tinhquang học, thiết bị viễn thông","Sản xuất điện tử, thiết bị điện, máy vi tinhquang học, thiết bị viễn thông",1.483.772,"1,46",1.212.595,"1,53",1483772.0,1.46,1212595.0,1.53
"Đòng tàu, thuyền","Đòng tàu, thuyền","Đòng tàu, thuyền",3.051,"0,00",4.159,"0,01",3051.0,0.0,4159.0,0.01
"Sản xuất thiết bị văn phòng, đồ gia dụng,thiết bị y tế, giáo dục, thể dục thể thao","Sản xuất thiết bị văn phòng, đồ gia dụng,thiết bị y tế, giáo dục, thể dục thể thao","Sản xuất thiết bị văn phòng, đồ gia dụng,thiết bị y tế, giáo dục, thể dục thể thao",42.665,"0,04",14.242,"0,02",42665.0,0.04,14242.0,0.02
"Sản xuất và phân phối điện, năng lương","Sản xuất và phân phối điện, năng lương","Sản xuất và phân phối điện, năng lương",7.125.610,"7,02",4.706.923,"5,92",7125610.0,7.02,4706923.0,5.92
Xây dựng,Xây dựng,Xây dựng,14.175.548,"13,96",7.279.461,"9,17",14175548.0,13.96,7279461.0,9.17
