row_label_raw,row_label_full,col_0,Thuyếtmính,Năm 2021triệu đồng,Năm 2020triệu đồng,numeric__Thuyếtmính,numeric__Năm 2021triệu đồng,numeric__Năm 2020triệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,27,10.338.591,10.019.692,27.0,10338591.0,10019692.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,28,(4.122.347),(5.197.303),28.0,-4122347.0,-5197303.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,,6.216.244,4.822.389,,6216244.0,4822389.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,,3.248.448,1.139.289,,3248448.0,1139289.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,,(375.009),(318.619),,-375009.0,-318619.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,29,2.873.439,820.670,29.0,2873439.0,820670.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,30,382.764,269.999,30.0,382764.0,269999.0
Lãi/(Lỗ) thuần từ mua bán chứng khoán kinh doanh,Lãi/(Lỗ) thuần từ mua bán chứng khoán kinh doanh,Lãi/(Lỗ) thuần từ mua bán chứng khoán kinh doanh,31,2.031,(8.433),31.0,2031.0,-8433.0
Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,32,349.636,560.927,32.0,349636.0,560927.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,1.254.834,921.833,,1254834.0,921833.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,,(592.242),(205.094),,-592242.0,-205094.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,33,662.592,716.739,33.0,662592.0,716739.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",34,101.536,189,34.0,101536.0,189.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,35,(3.931.913),(3.585.922),35.0,-3931913.0,-3585922.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tin dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tin dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tin dụng,,6.656.329,3.596.558,,6656329.0,3596558.0
Chi phí dự phòng rủi ro tin dụng,Chi phí dự phòng rủi ro tin dụng,Chi phí dự phòng rủi ro tin dụng,36,(1.567.866),(1.073.244),36.0,-1567866.0,-1073244.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,,5.088.463,2.523.314,,5088463.0,2523314.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,37,(1.053.738),(512.216),37.0,-1053738.0,-512216.0
Chi phí thuế thu nhập hoãn lại,Chi phí thuế thu nhập hoãn lại,Chi phí thuế thu nhập hoãn lại,,15,46,,15.0,46.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,(1.053.723),(512.170),,-1053723.0,-512170.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,,4.034.740,2.011.144,,4034740.0,2011144.0
Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),38,2.704,1.440,38.0,2704.0,1440.0
