row_label_raw,row_label_full,col_0,Ghi nhân giá trị hợp lý thông qua lãi lỗ triệu đồng,Giữ đến ngày đáo hạn triệu đồng,Cho vay và phải thu triệu đồng,Sẵn sáng để bán triệu đồng,Tài sản và nợ khác ghi nhận theo giá trị phân bổ triệu đồng,Tổng cộng triệu đồng,Giá trị hợp lý triệu đồng,numeric__Ghi nhân giá trị hợp lý thông qua lãi lỗ triệu đồng,numeric__Giữ đến ngày đáo hạn triệu đồng,numeric__Cho vay và phải thu triệu đồng,numeric__Sẵn sáng để bán triệu đồng,numeric__Tài sản và nợ khác ghi nhận theo giá trị phân bổ triệu đồng,numeric__Tổng cộng triệu đồng,numeric__Giá trị hợp lý triệu đồng
"Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",1.524.098,-,-,-,-,1.524.098,1.524.098,1524098.0,,,,,1524098.0,1524098.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,3.056.674,-,-,3.056.674,(*),,,3056674.0,,,3056674.0,
Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,33.441.936,-,-,33.441.936,(*),,,33441936.0,,,33441936.0,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,39.287,-,-,-,-,39.287,(*),39287.0,,,,,39287.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,101.562.609,-,-,101.562.609,(*),,,101562609.0,,,101562609.0,
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,-,-,-,48.257.483,-,48.257.483,(*),,,,48257483.0,,48257483.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,10.036,-,10.036,(*),,,,10036.0,,10036.0,
Tải sản tài chính khác,Tải sản tài chính khác,Tải sản tài chính khác,-,-,17.099.391,-,-,17.099.391,(*),,,17099391.0,,,17099391.0,
,,,1.563.385,-,155.160.610,48.267.519,-,204.991.514,,1563385.0,,155160610.0,48267519.0,,204991514.0,
Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,-,1.017.253,1.017.253,(*),,,,,1017253.0,1017253.0,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,68.035.603,68.035.603,(*),,,,,68035603.0,68035603.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,94.616.419,94.616.419,(*),,,,,94616419.0,94616419.0,
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,76.833,-,-,-,-,76.833,(*),76833.0,,,,,76833.0,
Phát hành giấy tờ có giả,Phát hành giấy tờ có giả,Phát hành giấy tờ có giả,-,-,-,-,13.042.540,13.042.540,(*),,,,,13042540.0,13042540.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,3.733.950,3.733.950,(*),,,,,3733950.0,3733950.0,
,,,76.833,-,-,-,180.445.765,180.522.598,,76833.0,,,,180445765.0,180522598.0,
