row_label_raw,row_label_full,col_0,Năm 2021triệu đồng,Năm 2020triệu đồng,numeric__Năm 2021triệu đồng,numeric__Năm 2020triệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,1.254.834,921.833,1254834.0,921833.0
Thu nhập từ nợ đã xử lý rủi ro,Thu nhập từ nợ đã xử lý rủi ro,Thu nhập từ nợ đã xử lý rủi ro,807.680,471.329,807680.0,471329.0
Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,21.084,303,21084.0,303.0
Thu nhập từ chuyển nhượng thanh lý tài sản,Thu nhập từ chuyển nhượng thanh lý tài sản,Thu nhập từ chuyển nhượng thanh lý tài sản,3.141,1.924,3141.0,1924.0
Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,4.897,51,4897.0,51.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,418.032,448.226,418032.0,448226.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,(592.242),(205.094),-592242.0,-205094.0
Chi về nghiệp vụ mua bán nợ,Chi về nghiệp vụ mua bán nợ,Chi về nghiệp vụ mua bán nợ,(54.200),(4.958),-54200.0,-4958.0
Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(16.073),(307),-16073.0,-307.0
Chi phí khác,Chi phí khác,Chi phí khác,(521.969),(199.829),-521969.0,-199829.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,662.592,716.739,662592.0,716739.0
