row_label_raw,row_label_full,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị_1,numeric__CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị_1
Tiền gửi,Tiền gửi,Tiền gửi,(12.676),-12676.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,(15),-15.0
