row_label_raw,row_label_full,col_0,Tài chínhngén hàngtriệu đồng,Khác dịch số dư nội bộtriệu đồng,Loại trừ giao triệu đồng,Tổng cộngtriệu đồng,numeric__Tài chínhngén hàngtriệu đồng,numeric__Khác dịch số dư nội bộtriệu đồng,numeric__Loại trừ giao triệu đồng,numeric__Tổng cộngtriệu đồng
I. Doanh thu,I. Doanh thu,I. Doanh thu,18.999.647,138.576,(206.177),18.932.046,18999647.0,138576.0,-206177.0,18932046.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,10.343.549,1.196,(6.154),10.338.591,10343549.0,1196.0,-6154.0,10338591.0
2. Doanh thu từ hoạt độngdịch vụ,2. Doanh thu từ hoạt độngdịch vụ,2. Doanh thu từ hoạt độngdịch vụ,3.248.532,-,(84),3.248.448,3248532.0,,-84.0,3248448.0
3. Doanh thu từ hoạt độngkinh doanh khác,3. Doanh thu từ hoạt độngkinh doanh khác,3. Doanh thu từ hoạt độngkinh doanh khác,5.407.566,137.380,(199.939),5.345.007,5407566.0,137380.0,-199939.0,5345007.0
II. Chi phí,II. Chi phí,II. Chi phí,(12.236.853),(86.612),47.748,(12.275.717),-12236853.0,-86612.0,47748.0,-12275717.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(4.122.099),(6.402),6.154,(4.122.347),-4122099.0,-6402.0,6154.0,-4122347.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(96.854),-,(113),(96.967),-96854.0,,-113.0,-96967.0
3. Chi phí liên quan trực tiếpđến hoạt động kinh doanh,3. Chi phí liên quan trực tiếpđến hoạt động kinh doanh,3. Chi phí liên quan trực tiếpđến hoạt động kinh doanh,(8.017.900),(80.210),41.707,(8.056.403),-8017900.0,-80210.0,41707.0,-8056403.0
Kết quả kinh doanh trướcchi phí dự phòng rủi ro,Kết quả kinh doanh trướcchi phí dự phòng rủi ro,Kết quả kinh doanh trướcchi phí dự phòng rủi ro,6.762.794,51.964,(158.429),6.656.329,6762794.0,51964.0,-158429.0,6656329.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(1.592.366),-,24.500,(1.567.866),-1592366.0,,24500.0,-1567866.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,5.170.428,51.964,(133.929),5.088.463,5170428.0,51964.0,-133929.0,5088463.0
