row_label_raw,row_label_full,"Tổng công ty Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn","Năm 2021Doanh thu/(Chi phí) triệu đồng > Tổng công ty Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn","Năm 2020Doanh thu/(Chi phí) triệu đồng > Tổng công ty Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn","numeric__Năm 2021Doanh thu/(Chi phí) triệu đồng > Tổng công ty Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn","numeric__Năm 2020Doanh thu/(Chi phí) triệu đồng > Tổng công ty Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn"
Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,(23.487),(47),-23487.0,-47.0
Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,2,3,2.0,3.0
CTCP Đầu tư TNG Holding Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Đầu tư TNG Holding Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Đầu tư TNG Holding Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Đầu tư TNG Holding Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Đầu tư TNG Holding Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,,
Chi phí lãi tiền gửi,CTCP Đầu tư TNG Holding Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,(12),(11),-12.0,-11.0
Thu nhập từ phí dịch vụ,CTCP Đầu tư TNG Holding Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị > Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,152,29,152.0,29.0
CTCP Đầu tư và Cho thuê tài sản TNL – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Đầu tư và Cho thuê tài sản TNL – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Đầu tư và Cho thuê tài sản TNL – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Đầu tư và Cho thuê tài sản TNL – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Đầu tư và Cho thuê tài sản TNL – Bên liên quan của thành viên Hội đồng Quản trị,,
Chi phí lãi tiền gửi,CTCP Đầu tư và Cho thuê tài sản TNL – Bên liên quan của thành viên Hội đồng Quản trị > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,(1.042),-,-1042.0,
Thu nhập từ phí dịch vụ,CTCP Đầu tư và Cho thuê tài sản TNL – Bên liên quan của thành viên Hội đồng Quản trị > Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,6,-,6.0,
CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị,,
Chi phí lãi tiền gửi,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,(30),-,-30.0,
Thu nhập từ phí dịch vụ,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị > Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,37,-,37.0,
"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này",,
Thù lao Hội đồng quản trị,"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này > Thù lao Hội đồng quản trị",Thù lao Hội đồng quản trị,(18.421),(15.522),-18421.0,-15522.0
Thù lao của Ban kiểm soát,"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này > Thù lao của Ban kiểm soát",Thù lao của Ban kiểm soát,(4.783),(4.780),-4783.0,-4780.0
Lương của Tổng Giám đốc và các Phó Tổng,Lương của Tổng Giám đốc và các Phó Tổng,Lương của Tổng Giám đốc và các Phó Tổng,Lương của Tổng Giám đốc và các Phó Tổng,Lương của Tổng Giám đốc và các Phó Tổng,,
Giám đốc,Lương của Tổng Giám đốc và các Phó Tổng > Giám đốc,Giám đốc,(27.985),(30.822),-27985.0,-30822.0
