row_label_raw,row_label_full,col_0,Quế hạn,Không chịu lãi,Đến 1 tháng,Từ 1 – 3 tháng,Từ 3 – 5 tháng,Từ 6 – 12 tháng,Từ 1 – 5 năm,Trên 5 năm,Tổng cộng,numeric__Quế hạn,numeric__Không chịu lãi,numeric__Đến 1 tháng,numeric__Từ 1 – 3 tháng,numeric__Từ 3 – 5 tháng,numeric__Từ 6 – 12 tháng,numeric__Từ 1 – 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,,
"Tiền mặt, vàng bạc, đã quý","Tải sản > Tiền mặt, vàng bạc, đã quý","Tiền mặt, vàng bạc, đã quý",-,1.524.098,-,-,-,-,-,-,1.524.098,,1524098.0,,,,,,,1524098.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,3.058.674,-,-,-,-,-,3.058.674,,,3058674.0,,,,,,3058674.0
Tiền gửi tài và cho vay các TCTD khác (*),Tải sản > Tiền gửi tài và cho vay các TCTD khác (*),Tiền gửi tài và cho vay các TCTD khác (*),-,-,23.220.226,5.575.970,4.622.826,22.914,-,-,33.441.936,,,23220226.0,5575970.0,4622826.0,22914.0,,,33441936.0
Chứng khoản kinh dosnh (*),Tải sản > Chứng khoản kinh dosnh (*),Chứng khoản kinh dosnh (*),-,39.287,-,-,-,-,-,-,39.287,,39287.0,,,,,,,39287.0
Cho vay khách hàng và mua nợ (*),Tải sản > Cho vay khách hàng và mua nợ (*),Cho vay khách hàng và mua nợ (*),2.778.884,-,26.734.385,31.369.613,23.337.520,11.578.209,5.526.045,237.953,101.562.609,2778884.0,,26734385.0,31369613.0,23337520.0,11578209.0,5526045.0,237953.0,101562609.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,1.374.043,500.000,2.860.000,4.450.000,5.450.100,12.227.029,21.396.311,48.257.483,,1374043.0,500000.0,2860000.0,4450000.0,5450100.0,12227029.0,21396311.0,48257483.0
Góp vốn đầu tư dài hạn (*),Tải sản > Góp vốn đầu tư dài hạn (*),Góp vốn đầu tư dài hạn (*),-,10.036,-,-,-,-,-,-,10.036,,10036.0,,,,,,,10036.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,-,311.581,-,-,-,-,-,-,311.581,,311581.0,,,,,,,311581.0
Tải sản Có khác (*),Tải sản > Tải sản Có khác (*),Tải sản Có khác (*),487.362,16.556.733,-,-,-,-,-,394.644,17.438.739,487362.0,16556733.0,,,,,,394644.0,17438739.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,3.266.246,19.815.778,53.511.285,39.805.583,32.410.346,17.051.223,17.753.074,22.028.908,205.642.443,3266246.0,19815778.0,53511285.0,39805583.0,32410346.0,17051223.0,17753074.0,22028908.0,205642443.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,1.593,-,-,1.001.566,14.094,-,1.017.253,,,1593.0,,,1001566.0,14094.0,,1017253.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,54.118.391,9.641.072,4.276.140,-,-,-,68.035.603,,,54118391.0,9641072.0,4276140.0,,,,68035603.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,50.386.927,15.672.028,13.587.372,13.017.337,1.952.617,138,94.616.419,,,50386927.0,15672028.0,13587372.0,13017337.0,1952617.0,138.0,94616419.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,76.833,-,-,-,-,-,76.833,,,76833.0,,,,,,76833.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,289.333,332.044,347.256,4.031.063,8.042.844,-,13.042.540,,,289333.0,332044.0,347256.0,4031063.0,8042844.0,,13042540.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),-,4.838.990,-,-,-,-,-,-,4.838.990,,4838990.0,,,,,,,4838990.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,4.838.990,104.873.077,25.645.144,18.210.768,18.049.966,10.009.555,138,181.627.638,,4838990.0,104873077.0,25645144.0,18210768.0,18049966.0,10009555.0,138.0,181627638.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,3.266.246,14.976.788,(51.361.792),14.160.439,14.199.578,(998.743),7.743.519,22.028.770,24.014.805,3266246.0,14976788.0,-51361792.0,14160439.0,14199578.0,-998743.0,7743519.0,22028770.0,24014805.0
