row_label_raw,row_label_full,col_0,Tài chínhngán hàngtriệu đồng,Loại trữ giaoKhác dịch/số dư nội bộtriệu đồng,Loại trữ giaoKhác dịch/số dư nội bộtriệu đồng_1,Tổng côngtriệu đồng,numeric__Tài chínhngán hàngtriệu đồng,numeric__Loại trữ giaoKhác dịch/số dư nội bộtriệu đồng,numeric__Loại trữ giaoKhác dịch/số dư nội bộtriệu đồng_1,numeric__Tổng côngtriệu đồng
,,,Tài chínhngán hàngtriệu đồng,-,(887.657),Tổng côngtriệu đồng,,,-887657.0,
III. Tài sản,III. Tài sản,III. Tài sản,204.553.080,-,(887.657),203.665.423,204553080.0,,-887657.0,203665423.0
1. Tiền mặt,1. Tiền mặt,1. Tiền mặt,1.524.098,-,-,1.524.098,1524098.0,,,1524098.0
2. Tài sản cố định,2. Tài sản cố định,2. Tài sản cố định,311.886,-,(305),311.581,311886.0,,-305.0,311581.0
3. Tài sản khác,3. Tài sản khác,3. Tài sản khác,202.717.096,-,(887.352),201.829.744,202717096.0,,-887352.0,201829744.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,181.853.064,-,(225.426),181.627.638,181853064.0,,-225426.0,181627638.0
1. Nợ phải trả khách hàngbên ngoài,1. Nợ phải trả khách hàngbên ngoài,1. Nợ phải trả khách hàngbên ngoài,2.078.452,-,(7.500),2.070.952,2078452.0,,-7500.0,2070952.0
2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,1.129.666,-,-,1.129.666,1129666.0,,,1129666.0
3. Nợ phải trả khác,3. Nợ phải trả khác,3. Nợ phải trả khác,178.644.946,-,(217.926),178.427.020,178644946.0,,-217926.0,178427020.0
