row_label_raw,row_label_full,col_0,Số dưđâu năm,Phát sinh trong năm > Số phải nộp,Phát sinh trong năm > Số đã nộp,Đơn vị triệu đồngGiảm do thanh lý công ty con,Số dưcuối năm,numeric__Số dưđâu năm,numeric__Phát sinh trong năm > Số phải nộp,numeric__Phát sinh trong năm > Số đã nộp,numeric__Đơn vị triệu đồngGiảm do thanh lý công ty con,numeric__Số dưcuối năm
Phải thu NSNN,Phải thu NSNN,Phải thu NSNN,(3.129),1.001,-,-,(2.128),-3129.0,1001.0,,,-2128.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,(3.123),995,-,-,(2.128),-3123.0,995.0,,,-2128.0
Thuế khác,Thuế khác,Thuế khác,(6),6,-,-,-,-6.0,6.0,,,
Phải trả NSNN,Phải trả NSNN,Phải trả NSNN,208.116,1.464.267,(1.387.443),(13.090),271.850,208116.0,1464267.0,-1387443.0,-13090.0,271850.0
Thuế GTGT,Thuế GTGT,Thuế GTGT,10.178,194.533,(191.196),20,13.535,10178.0,194533.0,-191196.0,20.0,13535.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,171.371,1.056.203,(990.807),(11.805),224.962,171371.0,1056203.0,-990807.0,-11805.0,224962.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,26.567,206.493,(199.704),(3),33.353,26567.0,206493.0,-199704.0,-3.0,33353.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,5.380,(5.380),-,-,,5380.0,-5380.0,,
Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,-,1.658,(356),(1.302),-,,1658.0,-356.0,-1302.0,
,,,204.987,1.465.268,(1.387.443),(13.090),269.722,204987.0,1465268.0,-1387443.0,-13090.0,269722.0
