row_label_raw,row_label_full,col_0,Thuyếtminh,Ngày 31 tháng 12năm 2021triêu đồng,Ngày 31 tháng 12năm 2020triêu đồng,numeric__Thuyếtminh,numeric__Ngày 31 tháng 12năm 2021triêu đồng,numeric__Ngày 31 tháng 12năm 2020triêu đồng
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Chinh phủ và NHNN,NỘ PHẢI TRẢ > Các khoản nợ Chinh phủ và NHNN,Các khoản nợ Chinh phủ và NHNN,20,1.017.253,20.734,20.0,1017253.0,20734.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,21,68.035.603,56.025.723,21.0,68035603.0,56025723.0
Tiền gửi của các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,,34.078.939,22.447.288,,34078939.0,22447288.0
Vay các TCTD khác,NỘ PHẢI TRẢ > Vay các TCTD khác,Vay các TCTD khác,,33.956.664,33.578.435,,33956664.0,33578435.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,22,94.616.419,87.510.188,22.0,94616419.0,87510188.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,9,76.833,52.030,9.0,76833.0,52030.0
Phát hành giấy tờ có giả,NỘ PHẢI TRẢ > Phát hành giấy tờ có giả,Phát hành giấy tờ có giả,23,13.042.540,11.711.474,23.0,13042540.0,11711474.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,,4.838.990,4.502.657,,4838990.0,4502657.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",24.1,1.605.625,1.577.833,241.0,1605625.0,1577833.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,24.2,3.233.365,2.924.824,242.0,3233365.0,2924824.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,181.627.638,159.822.806,,181627638.0,159822806.0
VỐN CHỦ SỐ HỮU,VỐN CHỦ SỐ HỮU,VỐN CHỦ SỐ HỮU,VỐN CHỦ SỐ HỮU,VỐN CHỦ SỐ HỮU,VỐN CHỦ SỐ HỮU,,,
Vốn của TCTD,VỐN CHỦ SỐ HỮU > Vốn của TCTD,Vốn của TCTD,,15.767.318,11.109.953,,15767318.0,11109953.0
- Vốn điều lệ,VỐN CHỦ SỐ HỮU > - Vốn điều lệ,- Vốn điều lệ,,15.275.000,11.750.000,,15275000.0,11750000.0
- Vốn đầu tư xây dựng cơ bản,VỐN CHỦ SỐ HỮU > - Vốn đầu tư xây dựng cơ bản,- Vốn đầu tư xây dựng cơ bản,,608,608,,608.0,608.0
- Thặng dư vốn cổ phần,VỐN CHỦ SỐ HỮU > - Thặng dư vốn cổ phần,- Thặng dư vốn cổ phần,,491.710,400.000,,491710.0,400000.0
- Cổ phiếu quỹ,VỐN CHỦ SỐ HỮU > - Cổ phiếu quỹ,- Cổ phiếu quỹ,,-,(1.040.655),,,-1040655.0
Quỹ của TCTD,VỐN CHỦ SỐ HỮU > Quỹ của TCTD,Quỹ của TCTD,,1.276.973,989.453,,1276973.0,989453.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỐ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,4.993.494,4.775.413,,4993494.0,4775413.0
TỔNG VỐN CHỦ SỐ HỮU,VỐN CHỦ SỐ HỮU > TỔNG VỐN CHỦ SỐ HỮU,TỔNG VỐN CHỦ SỐ HỮU,26,22.037.785,16.874.819,26.0,22037785.0,16874819.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,VỐN CHỦ SỐ HỮU > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,,203.665.423,176.697.625,,203665423.0,176697625.0
