row_label_raw,row_label_full,Số dư đầu năm(Hoàn nhập)/Trích lập trong năm > Xử lý rủi ro trong năm,Năm 2021triệu đồng > 245.410(364) > (98.000),Năm 2020triệu đồng > 190.06754.595 > -,numeric__Năm 2021triệu đồng > 245.410(364) > (98.000),numeric__Năm 2020triệu đồng > 190.06754.595 > -
Tăng khác,Tăng khác,Tăng khác,1.500,748,1500.0,748.0
Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(109.856),-,-109856.0,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,38.690,245.410,38690.0,245410.0
