row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng","Mãy móc,thiết bịtriệu đồng",Phương tiệnvân tàitriệu đồng,Thiết bị dụng cụquản lýtriệu đồng,TSCDhửu hình kháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng","numeric__Mãy móc,thiết bịtriệu đồng",numeric__Phương tiệnvân tàitriệu đồng,numeric__Thiết bị dụng cụquản lýtriệu đồng,numeric__TSCDhửu hình kháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,,,,,,
Số dư đầu năm,Nguyên giả > Số dư đầu năm,Số dư đầu năm,28.892,464.611,107.324,98.857,589,700.273,28892.0,464611.0,107324.0,98857.0,589.0,700273.0
Mua trong năm,Nguyên giả > Mua trong năm,Mua trong năm,-,48.103,-,5.368,-,53.471,,48103.0,,5368.0,,53471.0
Thanh lý trong năm,Nguyên giả > Thanh lý trong năm,Thanh lý trong năm,-,(100.195),(12.257),(14.790),(90),(127.332),,-100195.0,-12257.0,-14790.0,-90.0,-127332.0
Giảm do thanh lý công ty con,Nguyên giả > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(303),(727),-,(277),-,(1.307),-303.0,-727.0,,-277.0,,-1307.0
Số dư cuối năm,Nguyên giả > Số dư cuối năm,Số dư cuối năm,28.589,411.792,95.067,89.158,499,625.105,28589.0,411792.0,95067.0,89158.0,499.0,625105.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế > Số dư đầu năm,Số dư đầu năm,12.518,394.628,80.356,84.351,513,572.364,12518.0,394628.0,80356.0,84351.0,513.0,572364.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,581,31.665,6.471,8.214,27,46.958,581.0,31665.0,6471.0,8214.0,27.0,46958.0
Thanh lý trong năm,Giá trị khấu hao lũy kế > Thanh lý trong năm,Thanh lý trong năm,-,(99.558),(12.242),(14.773),(90),(126.663),,-99558.0,-12242.0,-14773.0,-90.0,-126663.0
Giảm do thanh lý công ty con,Giá trị khấu hao lũy kế > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(303),(727),-,(277),-,(1.307),-303.0,-727.0,,-277.0,,-1307.0
Số dư cuối năm,Giá trị khấu hao lũy kế > Số dư cuối năm,Số dư cuối năm,12.794,326.008,74.585,77.515,450,491.352,12794.0,326008.0,74585.0,77515.0,450.0,491352.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,16.376,69.983,26.968,14.506,76,127.909,16376.0,69983.0,26968.0,14506.0,76.0,127909.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,15.795,85.784,20.482,11.643,49,133.753,15795.0,85784.0,20482.0,11643.0,49.0,133753.0
