row_label_raw,row_label_full,"Tổng công ty Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn","Tổng công ty Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn_1","Tổng công ty Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn_2","numeric__Tổng công ty Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn_1","numeric__Tổng công ty Bưu chính viễn thông Việt Nam (""VNPT"") – Cổ đông lớn_2"
Tiền gửi,Tiền gửi,Tiền gửi,(936.304),(20.830),-936304.0,-20830.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,(23.462),-,-23462.0,
