row_label_raw,row_label_full,Số dư đầu năm > Hoàn nhập trong năm,Năm 2021triệu đồng > 15.363 > (6.803),Năm 2020triệu đồng > 17.423 > (632),numeric__Năm 2021triệu đồng > 15.363 > (6.803),numeric__Năm 2020triệu đồng > 17.423 > (632)
Giảm khác,Giảm khác,Giảm khác,-,(1.428),,-1428.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,8.560,15.363,8560.0,15363.0
