row_label_raw,row_label_full,col_0,Nợ đủ tiêu chuẩn triệu đồng,Nợ cần chú ý triệu đồng,Nợ dưới tiêu chuẩn triệu đồng,Nợ nghi ngở năng mất vấn triệu đồng,Nợ có khả Tổng cộng triệu đồng,numeric__Nợ đủ tiêu chuẩn triệu đồng,numeric__Nợ cần chú ý triệu đồng,numeric__Nợ dưới tiêu chuẩn triệu đồng,numeric__Nợ nghi ngở năng mất vấn triệu đồng,numeric__Nợ có khả Tổng cộng triệu đồng
Tiền gửi có kỳ hạn tại và cho vay các TCTD khác,Tiền gửi có kỳ hạn tại và cho vay các TCTD khác,Tiền gửi có kỳ hạn tại và cho vay các TCTD khác,25.301.342,-,-,-,25.301.342,25301342.0,,,,25301342.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,98.632.895,1.160.921,344.979,469.210,954.604,98632895.0,1160921.0,344979.0,469210.0,954604.0
"Chứng khoán nợ do các TCTD, TCKT trong nước phát hành","Chứng khoán nợ do các TCTD, TCKT trong nước phát hành","Chứng khoán nợ do các TCTD, TCKT trong nước phát hành",20.858.631,-,-,-,20.858.631,20858631.0,,,,20858631.0
Tài sản có rủi ro tin dụng khác,Tài sản có rủi ro tin dụng khác,Tài sản có rủi ro tin dụng khác,2.851.159,161.000,-,-,40.898,2851159.0,161000.0,,,40898.0
Tổng cộng,Tổng cộng,Tổng cộng,147.644.027,1.321.921,344.979,469.210,995.502,147644027.0,1321921.0,344979.0,469210.0,995502.0
