row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2021 triệu đồng,Ngày 31 tháng 12 năm 2020 triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2021 triệu đồng,numeric__Ngày 31 tháng 12 năm 2020 triệu đồng
TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,,,
"Tiền mặt, vàng bạc, đá quỹ","TẢI SẢN > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",5,1.524.098,2.204.642,5.0,1524098.0,2204642.0
"Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")","TẢI SẢN > Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")","Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")",6,3.056.674,1.850.921,6.0,3056674.0,1850921.0
"Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác","TẢI SẢN > Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác","Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác",7,33.441.936,16.977.765,7.0,33441936.0,16977765.0
Tiền gửi tại các TCTD khác,TẢI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,,19.909.194,14.730.353,,19909194.0,14730353.0
Cho vay các TCTD khác,TẢI SẢN > Cho vay các TCTD khác,Cho vay các TCTD khác,,13.532.742,2.247.412,,13532742.0,2247412.0
Chứng khoán kinh doanh,TẢI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,23.487,21.050,8.0,23487.0,21050.0
Chứng khoán kinh doanh,TẢI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,39.287,39.287,,39287.0,39287.0
Dự phòng rủi ro chứng khoán kinh doanh,TẢI SẢN > Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,,(15.800),(18.237),,-15800.0,-18237.0
Cho vay khách hàng,TẢI SẢN > Cho vay khách hàng,Cho vay khách hàng,,99.875.801,78.497.568,,99875801.0,78497568.0
Cho vay khách hàng,TẢI SẢN > Cho vay khách hàng,Cho vay khách hàng,10,101.562.609,79.340.579,10.0,101562609.0,79340579.0
Dự phòng rủi ro cho vay khách hàng,TẢI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(1.686.808),(843.011),11.0,-1686808.0,-843011.0
Hoạt động mua nợ,TẢI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,12,-,-,12.0,,
