row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy vi tính triệu đồng,TSCB vô hình khác triệu đồng,Tổng công triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__TSCB vô hình khác triệu đồng,numeric__Tổng công triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,52.233,398.808,17.162,468.203,52233.0,398808.0,17162.0,468203.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,45.397,1.598,46.995,,45397.0,1598.0,46995.0
Giảm do thanh lý công ty con,Nguyên giá > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,(120),-,(120),,-120.0,,-120.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,52.233,444.085,18.760,515.078,52233.0,444085.0,18760.0,515078.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,-,282.522,4.839,287.361,,282522.0,4839.0,287361.0
Hao mòn trong năm,Giá trị hao mòn luỹ kế > Hao mòn trong năm,Hao mòn trong năm,-,47.618,2.391,50.009,,47618.0,2391.0,50009.0
Giảm do thanh lý công ty con,Giá trị hao mòn luỹ kế > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,(120),-,(120),,-120.0,,-120.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,-,330.020,7.230,337.250,,330020.0,7230.0,337250.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,52.233,116.286,12.323,180.842,52233.0,116286.0,12323.0,180842.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,52.233,114.065,11.530,177.828,52233.0,114065.0,11530.0,177828.0
