row_label_raw,row_label_full,col_0,31 December 2024% p.a,31 December 2023% p.a,numeric__31 December 2024% p.a,numeric__31 December 2023% p.a
Within compulsory deposit rate in VND,Within compulsory deposit rate in VND,Within compulsory deposit rate in VND,0.50,0.50,50.0,50.0
Within compulsory deposit rate in USD,Within compulsory deposit rate in USD,Within compulsory deposit rate in USD,0.00,0.00,0.0,0.0
Over compulsory deposit rate in VND,Over compulsory deposit rate in VND,Over compulsory deposit rate in VND,0.00,0.00,0.0,0.0
Over compulsory deposit rate in USD,Over compulsory deposit rate in USD,Over compulsory deposit rate in USD,0.00,0.00,0.0,0.0
