row_label_raw,row_label_full,col_0,Mức tăng tỷ giá,Ảnh hưởng đến lợi nhuận sau thuế VND,numeric__Mức tăng tỷ giá,numeric__Ảnh hưởng đến lợi nhuận sau thuế VND
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,,
USD,Tại ngày 31 tháng 12 năm 2024 > USD,USD,-3%,(5.759.104.262),-0.03,-5759104262.0
USD,Tại ngày 31 tháng 12 năm 2024 > USD,USD,3%,5.759.104.262,0.03,5759104262.0
