row_label_raw,row_label_full,col_0,Assumed level of increase,Effects on profit after tax VND,numeric__Assumed level of increase,numeric__Effects on profit after tax VND
As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,,
USD,As at 31 December 2024 > USD,USD,-3%,"(5,759,104,262)",-0.03,
USD,As at 31 December 2024 > USD,USD,3%,"5,759,104,262",0.03,
