row_label_raw,row_label_full,col_0,Notes,Ending balance VND,Beginning balance VND,numeric__Notes,numeric__Ending balance VND,numeric__Beginning balance VND
LIABILITIES,LIABILITIES,LIABILITIES,LIABILITIES,LIABILITIES,LIABILITIES,,,
Amounts due to the Government and the State Bank,Amounts due to the Government and the State Bank,Amounts due to the Government and the State Bank,,"3,469,535,552,139","94,394,453,562",,,
"Deposits and borrowings from the Government, the State Bank","Amounts due to the Government and the State Bank > Deposits and borrowings from the Government, the State Bank","Deposits and borrowings from the Government, the State Bank",16,"3,469,535,552,139","94,394,453,562",16.0,,
Deposits and borrowings from other credit institutions,Deposits and borrowings from other credit institutions,Deposits and borrowings from other credit institutions,,"45,008,281,205,498","31,039,865,195,767",,,
Deposits from other credit institutions,Deposits and borrowings from other credit institutions > Deposits from other credit institutions,Deposits from other credit institutions,17.1,"43,798,252,294,422","27,227,630,888,883",171.0,,
Borrowings from other credit institutions,Deposits and borrowings from other credit institutions > Borrowings from other credit institutions,Borrowings from other credit institutions,17.2,"1,210,028,911,076","3,812,234,306,884",172.0,,
Customer deposits,Deposits and borrowings from other credit institutions > Customer deposits,Customer deposits,18,"142,482,818,601,895","125,968,487,476,629",18.0,,
Other borrowed and entrusted funds,Deposits and borrowings from other credit institutions > Other borrowed and entrusted funds,Other borrowed and entrusted funds,19,"5,942,083,509,395","4,358,195,253,813",19.0,,
Derivatives instruments and other financial liabilities,Deposits and borrowings from other credit institutions > Derivatives instruments and other financial liabilities,Derivatives instruments and other financial liabilities,8,"356,262,657,844",-,8.0,,
Valuable papers issued,Deposits and borrowings from other credit institutions > Valuable papers issued,Valuable papers issued,20,"44,010,712,500,000","37,808,325,000,000",20.0,,
Other liabilities,Other liabilities,Other liabilities,,"7,795,690,743,914","12,334,188,454,002",,,
Interest and fee payable,Other liabilities > Interest and fee payable,Interest and fee payable,21,"2,656,125,820,313","4,696,630,760,920",21.0,,
Other payables,Other liabilities > Other payables,Other payables,22,"5,138,570,412,309","7,637,557,693,082",22.0,,
Provision for other liabilities,Provision for other liabilities,Provision for other liabilities,,"994,511,292",-,,,
TOTAL LIABILITIES,TOTAL LIABILITIES,TOTAL LIABILITIES,,"249,065,384,770,685","211,603,455,833,773",,,
OWNERS' EQUITY,OWNERS' EQUITY,OWNERS' EQUITY,OWNERS' EQUITY,OWNERS' EQUITY,OWNERS' EQUITY,,,
Capital,Capital,Capital,,"24,711,163,507,348","20,601,514,927,348",,,
Charter capital,Capital > Charter capital,Charter capital,24.2,"24,657,891,520,000","20,548,242,940,000",242.0,,
Share premium,Capital > Share premium,Share premium,24.1,"53,271,987,348","53,271,987,348",241.0,,
Reserves,Capital > Reserves,Reserves,24.3,"3,223,626,131,166","2,588,756,524,494",243.0,,
Undistributed profits,Undistributed profits,Undistributed profits,,"3,736,087,523,229","5,344,327,649,817",,,
TOTAL OWNERS' EQUITY,Undistributed profits > TOTAL OWNERS' EQUITY,TOTAL OWNERS' EQUITY,24,"31,670,877,161,743","28,534,599,101,659",24.0,,
TOTAL LIABILITIES AND OWNERS' EQUITY,TOTAL LIABILITIES AND OWNERS' EQUITY,TOTAL LIABILITIES AND OWNERS' EQUITY,,"280,736,261,932,428","240,138,054,935,432",,,
