row_label_raw,row_label_full,col_0,Current year VND,Previous year VND,numeric__Current year VND,numeric__Previous year VND
Income from other operating activities,Income from other operating activities,Income from other operating activities,"1,021,970,746,505","1,499,944,064,869",,
Income from disposal of other assets,Income from disposal of other assets,Income from disposal of other assets,"691,041,307,198","1,247,528,900,573",,
Recovery of debts previously written off,Recovery of debts previously written off,Recovery of debts previously written off,"211,356,985,356","86,690,315,928",,
Income from disposal of fixed assets,Income from disposal of fixed assets,Income from disposal of fixed assets,"45,664,732,665","311,713,634",,
Other business income,Other business income,Other business income,"1,892,837,401","20,529,868,619",,
Other income,Other income,Other income,"72,014,883,885","144,883,266,115",,
Expense from other operating activities,Expense from other operating activities,Expense from other operating activities,"(615,320,201,422)","(1,246,552,733,976)",,
Expenses from disposal of other assets,Expenses from disposal of other assets,Expenses from disposal of other assets,"(513,863,279,752)","(1,093,165,746,132)",,
Expenses from disposal of assets,Expenses from disposal of assets,Expenses from disposal of assets,"(12,722,531,785)","(1,196,848,633)",,
Other business expenses,Other business expenses,Other business expenses,"(10,413,647,668)","(21,672,047,038)",,
Other expenses,Other expenses,Other expenses,"(78,320,742,217)","(130,518,092,173)",,
,,,"406,650,545,083","253,391,330,893",,
