row_label_raw,row_label_full,col_0,Charter capitalVND,Share premiumVND,Reserved fundsVND,Undistributed profitsVND,TotalVND,numeric__Charter capitalVND,numeric__Share premiumVND,numeric__Reserved fundsVND,numeric__Undistributed profitsVND,numeric__TotalVND
Balance as at 1 January 2024,Balance as at 1 January 2024,Balance as at 1 January 2024,"20,548,242,940,000","53,271,987,348","2,588,756,524,494","5,344,327,649,817","28,534,599,101,659",,,,,
Increasing capital,Increasing capital,Increasing capital,"4,109,648,580,000",-,-,"(4,109,648,580,000)",-,,,,,
Net Profit for the year,Net Profit for the year,Net Profit for the year,-,-,-,"3,174,348,033,358","3,174,348,033,358",,,,,
Appropriation to fund,Appropriation to fund,Appropriation to fund,-,-,"634,869,606,672","(634,869,606,672)",-,,,,,
Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,-,-,-,"(38,069,973,274)","(38,069,973,274)",,,,,
Balance as at 31 December 2024,Balance as at 31 December 2024,Balance as at 31 December 2024,"24,657,891,520,000","53,271,987,348","3,223,626,131,166","3,736,087,523,229","31,670,877,161,743",,,,,
