row_label_raw,row_label_full,Overdue period,Provision rate,numeric__Provision rate
From six months up to under one year,From six months up to under one year,From six months up to under one year,30%,0.3
From one year up to under two years,From one year up to under two years,From one year up to under two years,50%,0.5
From two years up to under three years,From two years up to under three years,From two years up to under three years,70%,0.7
From three years and above,From three years and above,From three years and above,100%,1.0
