row_label_raw,row_label_full,col_0,31 December 2024% p.a.,31 December 2023% p.a.,numeric__31 December 2024% p.a.,numeric__31 December 2023% p.a.
Term deposits in VND,Term deposits in VND,Term deposits in VND,3.80 - 5.30,0.90 - 5.00,,
Term deposits in foreign currencies,Term deposits in foreign currencies,Term deposits in foreign currencies,4.40 - 5.05,5.00 - 5.50,,
Loans to other credit institutions in VND,Loans to other credit institutions in VND,Loans to other credit institutions in VND,4.40 - 4.50,2.40 - 9.16,,
