row_label_raw,row_label_full,col_0,Notes,Current year VND,Previous year VND,numeric__Notes,numeric__Current year VND,numeric__Previous year VND
Interest and similar income,Interest and similar income,Interest and similar income,25,"17,954,213,013,236","18,126,740,689,099",25.0,,
Interest and similar expenses,Interest and similar expenses,Interest and similar expenses,26,"(9,348,746,630,835)","(11,363,534,056,698)",26.0,,
Net interest and similar income,Net interest and similar income,Net interest and similar income,,"8,605,466,382,401","6,763,206,632,401",,,
Fee and commission income,Fee and commission income,Fee and commission income,,"1,073,463,790,640","997,491,617,180",,,
Fee and commission expenses,Fee and commission expenses,Fee and commission expenses,,"(142,376,933,748)","(115,337,751,825)",,,
Net fee and commission income,Fee and commission expenses > Net fee and commission income,Net fee and commission income,27,"931,086,856,892","882,153,865,355",27.0,,
Net gain from trading of foreign currencies,Fee and commission expenses > Net gain from trading of foreign currencies,Net gain from trading of foreign currencies,28,"310,953,918,546","389,064,926,979",28.0,,
Net gain from securities held for trading,Fee and commission expenses > Net gain from securities held for trading,Net gain from securities held for trading,29,"2,250,030,000","1,496,347,500",29.0,,
Net (loss)/gain from investment securities,Fee and commission expenses > Net (loss)/gain from investment securities,Net (loss)/gain from investment securities,30,"(188,421,795,033)","646,561,649,571",30.0,,
Income from investments in other entities,Income from investments in other entities,Income from investments in other entities,,"1,072,015,796",-,,,
Other operating income,Other operating income,Other operating income,,"1,021,970,746,505","1,499,944,064,869",,,
Other operating expenses,Other operating expenses,Other operating expenses,,"(615,320,201,422)","(1,246,552,733,976)",,,
Net gain from other operating activities,Other operating expenses > Net gain from other operating activities,Net gain from other operating activities,31,"406,650,545,083","253,391,330,893",31.0,,
TOTAL OPERATING INCOME,TOTAL OPERATING INCOME,TOTAL OPERATING INCOME,,"10,069,057,953,685","8,935,874,752,699",,,
OPERATING EXPENSES,TOTAL OPERATING INCOME > OPERATING EXPENSES,OPERATING EXPENSES,32,"(3,802,847,689,434)","(3,170,408,245,675)",32.0,,
Net profit before provision for credit losses,Net profit before provision for credit losses,Net profit before provision for credit losses,,"6,266,210,264,251","5,765,466,507,024",,,
Provision expense for credit losses,Provision expense for credit losses,Provision expense for credit losses,,"(2,259,026,320,781)","(1,627,225,365,223)",,,
PROFIT BEFORE TAX,PROFIT BEFORE TAX,PROFIT BEFORE TAX,,"4,007,183,943,470","4,138,241,141,801",,,
Current corporate income tax expense,PROFIT BEFORE TAX > Current corporate income tax expense,Current corporate income tax expense,33,"(832,835,910,112)","(835,891,344,852)",33.0,,
Corporate income tax expense,Corporate income tax expense,Corporate income tax expense,,"(832,835,910,112)","(835,891,344,852)",,,
PROFIT AFTER TAX,PROFIT AFTER TAX,PROFIT AFTER TAX,,"3,174,348,033,358","3,302,349,796,949",,,
