row_label_raw,row_label_full,col_0,Ending balance VND,Beginning balance VND,numeric__Ending balance VND,numeric__Beginning balance VND
"Wholesale and retail trade, repair of motor vehicles, motorcycles and personal goods","Wholesale and retail trade, repair of motor vehicles, motorcycles and personal goods","Wholesale and retail trade, repair of motor vehicles, motorcycles and personal goods","40,809,797,227,319","33,499,204,836,459",,
Real estate,Real estate,Real estate,"28,851,442,834,099","12,532,556,029,515",,
Accommodation and catering services,Accommodation and catering services,Accommodation and catering services,"17,402,254,475,969","16,722,572,017,450",,
Logistic,Logistic,Logistic,"13,541,295,798,436","8,846,534,398,858",,
"Production and distribution of electricity, gas, hot water, steam and air conditioning","Production and distribution of electricity, gas, hot water, steam and air conditioning","Production and distribution of electricity, gas, hot water, steam and air conditioning","11,970,763,179,128","12,733,992,143,686",,
Processing and manufacturing,Processing and manufacturing,Processing and manufacturing,"9,430,489,967,418","5,913,009,935,955",,
Construction,Construction,Construction,"6,521,603,613,929","9,363,793,514,185",,
"Households services, production of material products and services used by households","Households services, production of material products and services used by households","Households services, production of material products and services used by households","6,364,752,796,998","6,999,956,756,400",,
"Agriculture, forestry and aquaculture","Agriculture, forestry and aquaculture","Agriculture, forestry and aquaculture","4,214,788,033,892","2,472,096,207,549",,
Other service activities,Other service activities,Other service activities,"1,413,809,158,152","1,289,643,206,298",,
Administrative and support services,Administrative and support services,Administrative and support services,"523,463,806,362","560,882,454,002",,
"Financial, banking and insurance activities","Financial, banking and insurance activities","Financial, banking and insurance activities","435,927,395,983","912,176,268,705",,
Other services,Other services,Other services,"29,364,081,350,978","35,360,048,446,509",,
,,,"170,844,469,638,663","147,206,466,215,571",,
