row_label_raw,row_label_full,col_0,Current year VND,Previous year VND,numeric__Current year VND,numeric__Previous year VND
Expenses on taxes and fees,Expenses on taxes and fees,Expenses on taxes and fees,"3,922,714,188","3,381,466,924",,
Personnel expenses,Personnel expenses,Personnel expenses,"2,260,565,724,583","1,939,294,312,511",,
In which:,In which:,In which:,,,,
- Salary and allowances,- Salary and allowances,- Salary and allowances,"1,992,185,288,285","1,701,067,394,208",,
- Expenses related to salary,- Expenses related to salary,- Expenses related to salary,"181,064,064,043","153,083,166,165",,
- Subsidy,- Subsidy,- Subsidy,"932,763,041","4,945,886,707",,
- Others,- Others,- Others,"86,383,609,214","80,197,865,431",,
Expenses on asset,Expenses on asset,Expenses on asset,"593,446,850,410","496,336,999,699",,
In which:,In which:,In which:,,,,
- Depreciation and amortization of fixed assets,- Depreciation and amortization of fixed assets,- Depreciation and amortization of fixed assets,"121,374,513,963","103,599,571,791",,
- Others,- Others,- Others,"472,072,336,447","392,737,427,908",,
Administrative expenses,Administrative expenses,Administrative expenses,"823,060,554,712","633,204,055,833",,
Insurance fee for customer deposits,Insurance fee for customer deposits,Insurance fee for customer deposits,"121,851,845,541","98,376,751,862",,
Provision reversed for long-term investment,Provision reversed for long-term investment,Provision reversed for long-term investment,-,"(185,341,154)",,
,,,"3,802,847,689,434","3,170,408,245,675",,
