row_label_raw,row_label_full,col_0,Specific provision VND,General provision VND,Total VND,numeric__Specific provision VND,numeric__General provision VND,numeric__Total VND
Balance as at 1 January 2024,Balance as at 1 January 2024,Balance as at 1 January 2024,"1,418,317,495,091","1,083,831,823,873","2,502,149,318,964",,,
Provision charged for the year,Provision charged for the year,Provision charged for the year,"1,998,381,103,495","225,688,288,561","2,224,069,392,056",,,
Provision used to write off bad debts,Provision used to write off bad debts,Provision used to write off bad debts,"(2,118,079,114,792)","(58,815,785,251)","(2,176,894,900,043)",,,
Balance as at 31 December 2024,Balance as at 31 December 2024,Balance as at 31 December 2024,"1,298,619,483,794","1,250,704,327,183","2,549,323,810,977",,,
