row_label_raw,row_label_full,col_0,Thuyết minh,Số cuối năm VND,Số đầu năm VND,numeric__Thuyết minh,numeric__Số cuối năm VND,numeric__Số đầu năm VND
NỘ PHÁI TRẢ,NỘ PHÁI TRẢ,NỘ PHÁI TRẢ,NỘ PHÁI TRẢ,NỘ PHÁI TRẢ,NỘ PHÁI TRẢ,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,NỘ PHÁI TRẢ > Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,,3.469.535.552.139,94.394.453.562,,3469535552139.0,94394453562.0
"Tiền gửi và vay Chính phủ, NHNN","NỘ PHÁI TRẢ > Tiền gửi và vay Chính phủ, NHNN","Tiền gửi và vay Chính phủ, NHNN",16,3.469.535.552.139,94.394.453.562,16.0,3469535552139.0,94394453562.0
Tiền gửi và vay các TCTD khác,NỘ PHÁI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,,45.008.281.205.498,31.039.865.195.767,,45008281205498.0,31039865195767.0
Tiền gửi của các TCTD khác,NỘ PHÁI TRẢ > Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,17.1,43.798.252.294.422,27.227.630.888.883,171.0,43798252294422.0,27227630888883.0
Vay các TCTD khác,NỘ PHÁI TRẢ > Vay các TCTD khác,Vay các TCTD khác,17.2,1.210.028.911.076,3.812.234.306.884,172.0,1210028911076.0,3812234306884.0
Tiền gửi của khách hàng,NỘ PHÁI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,18,142.482.818.601.895,125.968.487.476.629,18.0,142482818601895.0,125968487476629.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","NỘ PHÁI TRẢ > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",19,5.942.083.509.395,4.358.195.253.813,19.0,5942083509395.0,4358195253813.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHÁI TRẢ > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,8,356.262.657.844,-,8.0,356262657844.0,
Phát hành giấy tờ có giá,NỘ PHÁI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,20,44.010.712.500.000,37.808.325.000.000,20.0,44010712500000.0,37808325000000.0
Các khoản nợ khác,NỘ PHÁI TRẢ > Các khoản nợ khác,Các khoản nợ khác,,7.795.690.743.914,12.334.188.454.002,,7795690743914.0,12334188454002.0
"Các khoản lãi, phí phải trả","NỘ PHÁI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",21,2.656.125.820.313,4.696.630.760.920,21.0,2656125820313.0,4696630760920.0
Các khoản phải trả và công nợ khác,NỘ PHÁI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,22,5.138.570.412.309,7.637.557.693.082,22.0,5138570412309.0,7637557693082.0
Dự phòng rủi ro khác (Dự phòng cho công nợ tiêm ấn và cam kết ngoại bằng),NỘ PHÁI TRẢ > Dự phòng rủi ro khác (Dự phòng cho công nợ tiêm ấn và cam kết ngoại bằng),Dự phòng rủi ro khác (Dự phòng cho công nợ tiêm ấn và cam kết ngoại bằng),,994.511.292,-,,994511292.0,
TỔNG NỘ PHÁI TRẢ,NỘ PHÁI TRẢ > TỔNG NỘ PHÁI TRẢ,TỔNG NỘ PHÁI TRẢ,,249.065.384.770.685,211.603.455.833.773,,249065384770685.0,211603455833773.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn của TCTD,VỐN CHỦ SỞ HỮU > Vốn của TCTD,Vốn của TCTD,,24.711.163.507.348,20.601.514.927.348,,24711163507348.0,20601514927348.0
Vốn điều lệ,VỐN CHỦ SỞ HỮU > Vốn điều lệ,Vốn điều lệ,24.2,24.657.891.520.000,20.548.242.940.000,242.0,24657891520000.0,20548242940000.0
Thăng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > Thăng dư vốn cổ phần,Thăng dư vốn cổ phần,24.1,53.271.987.348,53.271.987.348,241.0,53271987348.0,53271987348.0
Quỹ của TCTD,VỐN CHỦ SỞ HỮU > Quỹ của TCTD,Quỹ của TCTD,24.3,3.223.626.131.166,2.588.756.524.494,243.0,3223626131166.0,2588756524494.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,3.736.087.523.229,5.344.327.649.817,,3736087523229.0,5344327649817.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,24,31.670.877.161.743,28.534.599.101.659,24.0,31670877161743.0,28534599101659.0
TỔNG NỘ PHÁI TRẢ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHÁI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHÁI TRẢ VÀ VỐN CHỦ SỞ HỮU,,280.736.261.932.428,240.138.054.935.432,,280736261932428.0,240138054935432.0
