row_label_raw,row_label_full,col_0,Thuyết minh,Năm nay VND,Năm trước VND,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,25,17.954.213.013.236,18.126.740.689.099,25.0,17954213013236.0,18126740689099.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,26,(9.348.746.630.835),(11.363.534.056.698),26.0,-9348746630835.0,-11363534056698.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,,8.605.466.382.401,6.763.206.632.401,,8605466382401.0,6763206632401.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,,1.073.463.790.640,997.491.617.180,,1073463790640.0,997491617180.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,,(142.376.933.748),(115.337.751.825),,-142376933748.0,-115337751825.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,27,931.086.856.892,882.153.865.355,27.0,931086856892.0,882153865355.0
Lãi thuần từ hoạt động kinh doanh ngoại hồi,Lãi thuần từ hoạt động kinh doanh ngoại hồi,Lãi thuần từ hoạt động kinh doanh ngoại hồi,28,310.953.918.546,389.064.926.979,28.0,310953918546.0,389064926979.0
Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,29,2.250.030.000,1.496.347.500,29.0,2250030000.0,1496347500.0
(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,30,(188.421.795.033),646.561.649.571,30.0,-188421795033.0,646561649571.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",,1.072.015.796,-,,1072015796.0,
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,1.021.970.746.505,1.499.944.064.869,,1021970746505.0,1499944064869.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,(615.320.201.422),(1.246.552.733.976),,-615320201422.0,-1246552733976.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,31,406.650.545.083,253.391.330.893,31.0,406650545083.0,253391330893.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,,10.069.057.953.685,8.935.874.752.699,,10069057953685.0,8935874752699.0
CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,32,(3.802.847.689.434),(3.170.408.245.675),32.0,-3802847689434.0,-3170408245675.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tin dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tin dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tin dụng,,6.266.210.264.251,5.765.466.507.024,,6266210264251.0,5765466507024.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,,(2.259.026.320.781),(1.627.225.365.223),,-2259026320781.0,-1627225365223.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,,4.007.183.943.470,4.138.241.141.801,,4007183943470.0,4138241141801.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,33,(832.835.910.112),(835.891.344.852),33.0,-832835910112.0,-835891344852.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,(832.835.910.112),(835.891.344.852),,-832835910112.0,-835891344852.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,,3.174.348.033.358,3.302.349.796.949,,3174348033358.0,3302349796949.0
