row_label_raw,row_label_full,Buildings and structures,5 - 35 years,numeric__5 - 35 years
Motor vehicles,Motor vehicles,Motor vehicles,5 - 10 years,
Machines and equipment,Machines and equipment,Machines and equipment,3 - 10 years,
Other fixed assets,Other fixed assets,Other fixed assets,3 - 8 years,
Definite land use rights,Definite land use rights,Definite land use rights,35 - 50 years,
Computer software,Computer software,Computer software,3 - 10 years,
