row_label_raw,row_label_full,col_0,The South VND,The North VND,The Central VND,Elimination VND,Total VND,numeric__The South VND,numeric__The North VND,numeric__The Central VND,numeric__Elimination VND,numeric__Total VND
I. Revenue,I. Revenue,I. Revenue,I. Revenue,I. Revenue,I. Revenue,I. Revenue,I. Revenue,,,,,
1. Interest revenue,1. Interest revenue,1. Interest revenue,"37,997,293,966,436","4,065,642,944,221","2,713,957,203,527","(26,822,681,100,948)","17,954,213,013,236",,,,,
Interest income from external,Interest income from external,Interest income from external,"13,347,569,040,754","2,693,386,456,856","1,913,257,515,626",-,"17,954,213,013,236",,,,,
Interest income from internal,Interest income from internal,Interest income from internal,"24,649,724,925,682","1,372,256,487,365","800,699,687,901","(26,822,681,100,948)",-,,,,,
2. Fee & commission revenue,2. Fee & commission revenue,2. Fee & commission revenue,"948,425,144,337","65,826,913,311","59,211,732,992",-,"1,073,463,790,640",,,,,
3. Other revenue,3. Other revenue,3. Other revenue,"2,371,979,313,931","231,661,837,903","153,761,202,749","(754,640,355,629)","2,002,761,998,954",,,,,
II. Expense,II. Expense,II. Expense,II. Expense,II. Expense,II. Expense,II. Expense,II. Expense,,,,,
1. Interest expense,1. Interest expense,1. Interest expense,"(31,228,617,349,845)","(3,024,952,063,972)","(1,917,858,317,966)","26,822,681,100,948","(9,348,746,630,835)",,,,,
Interest expense from external,Interest expense from external,Interest expense from external,"(7,645,908,903,578)","(1,081,075,025,791)","(621,762,701,466)",,"(9,348,746,630,835)",,,,,
Interest expense from internal,Interest expense from internal,Interest expense from internal,"(23,582,708,446,267)","(1,943,877,038,181)","(1,296,095,616,500)","26,822,681,100,948",-,,,,,
2. Depreciation and amortization expenses,2. Depreciation and amortization expenses,2. Depreciation and amortization expenses,"(103,584,069,451)","(8,882,271,084)","(8,908,173,428)",-,"(121,374,513,963)",,,,,
3. Operating expenses,3. Operating expenses,3. Operating expenses,"(5,083,770,587,150)","(537,008,025,858)","(427,969,136,402)","754,640,355,629","(5,294,107,393,781)",,,,,
Profit before provision expenses for credit losses,Profit before provision expenses for credit losses,Profit before provision expenses for credit losses,"4,901,726,418,258","792,289,334,521","572,194,511,472",-,"6,266,210,264,251",,,,,
Provision expenses for credit losses,Provision expenses for credit losses,Provision expenses for credit losses,"(1,757,501,460,339)","(332,950,110,953)","(168,574,749,489)",-,"(2,259,026,320,781)",,,,,
Segment profit,Segment profit,Segment profit,"3,144,224,957,919","459,339,223,568","403,619,761,983",-,"4,007,183,943,470",,,,,
III. Assets,III. Assets,III. Assets,III. Assets,III. Assets,III. Assets,III. Assets,III. Assets,,,,,
1. Cash and gold,1. Cash and gold,1. Cash and gold,"474,093,945,174","170,345,995,129","143,333,831,523",-,"787,773,771,826",,,,,
2. Fixed assets,2. Fixed assets,2. Fixed assets,"497,164,196,578","38,026,165,070","94,595,641,831",-,"629,786,003,479",,,,,
3. Other assets,3. Other assets,3. Other assets,"233,914,727,691,781","28,084,740,392,492","17,319,234,072,850",-,"279,318,702,157,123",,,,,
Total assets,Total assets,Total assets,"234,885,985,833,533","28,293,112,552,691","17,557,163,546,204",-,"280,736,261,932,428",,,,,
IV. Liabilities,IV. Liabilities,IV. Liabilities,IV. Liabilities,IV. Liabilities,IV. Liabilities,IV. Liabilities,IV. Liabilities,,,,,
1. External liabilities,1. External liabilities,1. External liabilities,"(203,905,176,831,862)","(27,833,773,329,123)","(17,153,543,784,221)",-,"(248,892,493,945,206)",,,,,
2. Internal liabilities,2. Internal liabilities,2. Internal liabilities,"(9,670,775,746)",-,-,-,"(9,670,775,746)",,,,,
3. Other liabilities,3. Other liabilities,3. Other liabilities,"(163,220,049,733)",-,-,-,"(163,220,049,733)",,,,,
Total liabilities,Total liabilities,Total liabilities,"(204,078,067,657,341)","(27,833,773,329,123)","(17,153,543,784,221)",-,"(249,065,384,770,685)",,,,,
