row_label_raw,row_label_full,col_0,31 December 2024VND,31 December 2023VND,numeric__31 December 2024VND,numeric__31 December 2023VND
USD,USD,USD,"25,458.50","24,258.50",25.4585,24.2585
EUR,EUR,EUR,"26,620.50","26,843.50",26.6205,26.8435
GBP,GBP,GBP,"32,097.50","30,977.00",32.0975,30.977
JPY,JPY,JPY,163.55,172.43,16355.0,17243.0
CAD,CAD,CAD,"17,787.50","18,358.00",17.7875,18.358
AUD,AUD,AUD,"15,915.00","16,569.00",15.915,16.569
SGD,SGD,SGD,"18,765.50","18,430.00",18.7655,18.43
KRW,KRW,KRW,18.31,19.74,1831.0,1974.0
CNY,CNY,CNY,"3,492.50","3,416.50",3.4925,3.4165
THB,THB,THB,765.00,726.00,76500.0,72600.0
CHF,CHF,CHF,"28,613.00","29,240.00",28.613,29.24
NZD,NZD,NZD,"14,793.00","15,812.00",14.793,15.812
HKD,HKD,HKD,"3,334.00","3,156.00",3.334,3.156
SEK,SEK,SEK,"2,200.53","2,391.94",2.20053,2.39194
TWD,TWD,TWD,876.37,890.59,87637.0,89059.0
XAU,XAU,XAU,"8,320,000.00","7,350,000.00",,
