row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
"Bán buôn và bán lẻ; sửa chữa mốtô, ôtó, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa mốtô, ôtó, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa mốtô, ôtó, xe máy và xe có động cơ khác",40.809.797.227.319,33.499.204.836.459,40809797227319.0,33499204836459.0
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,28.851.442.834.099,12.532.556.029.515,28851442834099.0,12532556029515.0
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,17.402.254.475.969,16.722.572.017.450,17402254475969.0,16722572017450.0
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,13.541.295.798.436,8.846.534.398.858,13541295798436.0,8846534398858.0
"Sản xuất và phân phối điện, khí đốt và nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt và nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt và nước nóng, hơi nước và điều hòa không khí",11.970.763.179.128,12.733.992.143.686,11970763179128.0,12733992143686.0
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",9.430.489.967.418,5.913.009.935.955,9430489967418.0,5913009935955.0
Xây dựng,Xây dựng,Xây dựng,6.521.603.613.929,9.363.793.514.185,6521603613929.0,9363793514185.0
"Hoạt động làm thuê các công việc trong các hộ gia đình, sân xuất sân phẩm vật chất và dịch vụ tự tiểu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sân xuất sân phẩm vật chất và dịch vụ tự tiểu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sân xuất sân phẩm vật chất và dịch vụ tự tiểu dùng của hộ gia đình",6.364.752.796.998,6.999.956.756.400,6364752796998.0,6999956756400.0
"Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản",4.214.788.033.892,2.472.096.207.549,4214788033892.0,2472096207549.0
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,1.413.809.158.152,1.289.643.206.298,1413809158152.0,1289643206298.0
Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,523.463.806.362,560.882.454.002,523463806362.0,560882454002.0
"Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm",435.927.395.983,912.176.268.705,435927395983.0,912176268705.0
Các ngành khác,Các ngành khác,Các ngành khác,29.364.081.350.978,35.360.048.446.509,29364081350978.0,35360048446509.0
,,,170.844.469.638.663,147.206.466.215.571,170844469638663.0,147206466215571.0
