row_label_raw,row_label_full,col_0,Land use rights VND,Computer software VND,Total VND,numeric__Land use rights VND,numeric__Computer software VND,numeric__Total VND
Cost,Cost,Cost,Cost,Cost,Cost,,,
As at 1 January 2024,As at 1 January 2024,As at 1 January 2024,"154,535,813,448","425,487,732,694","580,023,546,142",,,
New purchases,New purchases,New purchases,-,"8,441,378,429","8,441,378,429",,,
Upgrade,Upgrade,Upgrade,-,"20,476,338,293","20,476,338,293",,,
Transfer from Construction in progress,Transfer from Construction in progress,Transfer from Construction in progress,-,"41,989,340,771","41,989,340,771",,,
Disposal,Disposal,Disposal,"(14,985,658,500)",-,"(14,985,658,500)",,,
As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,"139,550,154,948","496,394,790,187","635,944,945,135",,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,
As at 1 January 2024,As at 1 January 2024,As at 1 January 2024,"2,751,722,389","293,153,532,399","295,905,254,788",,,
Amortization for the year,Amortization for the year,Amortization for the year,"163,753,934","51,389,818,130","51,553,572,064",,,
As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,"2,915,476,323","344,543,350,529","347,458,826,852",,,
Net carrying amount,Net carrying amount,Net carrying amount,Net carrying amount,Net carrying amount,Net carrying amount,,,
As at 1 January 2024,As at 1 January 2024,As at 1 January 2024,"151,784,091,059","132,334,200,295","284,118,291,354",,,
As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,"136,634,678,625","151,851,439,658","288,486,118,283",,,
