row_label_raw,row_label_full,col_0,Capital supplementary reserve VND,Financial reserve VND,Other reserves VND,Total VND,numeric__Capital supplementary reserve VND,numeric__Financial reserve VND,numeric__Other reserves VND,numeric__Total VND
Balance as at 1 January 2024,Balance as at 1 January 2024,Balance as at 1 January 2024,"345,053,408,131","2,243,329,059,475","374,056,888","2,588,756,524,494",,,,
Appropriation to fund in the year,Appropriation to fund in the year,Appropriation to fund in the year,"317,434,803,336","317,434,803,336",-,"634,869,606,672",,,,
Balance as at 31 December 2024,Balance as at 31 December 2024,Balance as at 31 December 2024,"662,488,211,467","2,560,763,862,811","374,056,888","3,223,626,131,166",,,,
