row_label_raw,row_label_full,col_0,Current year VND,Previous year VND,numeric__Current year VND,numeric__Previous year VND
Fee and commission income,Fee and commission income,Fee and commission income,"1,073,463,790,640","997,491,617,180",,
Consulting activities,Consulting activities,Consulting activities,"373,139,811,914","241,040,004,995",,
Insurance agency services,Insurance agency services,Insurance agency services,"193,826,733,064","197,182,841,756",,
Settlement services,Settlement services,Settlement services,"69,975,322,323","59,218,339,068",,
Wealth management services,Wealth management services,Wealth management services,"1,687,961,818","7,704,020,910",,
Treasury services,Treasury services,Treasury services,"1,429,274,311","1,672,052,424",,
Other services,Other services,Other services,"433,404,687,210","490,674,358,027",,
Fee and commission expenses,Fee and commission expenses,Fee and commission expenses,"(142,376,933,748)","(115,337,751,825)",,
Settlement services,Settlement services,Settlement services,"(16,300,772,986)","(12,249,429,560)",,
Consulting activities,Consulting activities,Consulting activities,"(8,414,886,227)","(5,908,081,000)",,
Brokerage fees,Brokerage fees,Brokerage fees,"(2,098,543,589)","(3,124,292,713)",,
Post and telecommunication,Post and telecommunication,Post and telecommunication,"(1,991,694,822)","(924,118,037)",,
Treasury services,Treasury services,Treasury services,"(1,104,051,718)","(997,012,664)",,
Other expenses,Other expenses,Other expenses,"(112,466,984,406)","(92,134,817,851)",,
Net fee and commission income,Net fee and commission income,Net fee and commission income,"931,086,856,892","882,153,865,355",,
