row_label_raw,row_label_full,col_0,Giá trị số sách > Số cuối năm VND,Giá trị số sách > Số đầu năm VND,numeric__Giá trị số sách > Số cuối năm VND,numeric__Giá trị số sách > Số đầu năm VND
Bất động sản,Bất động sản,Bất động sản,215.278.681.254.656,179.737.008.839.869,215278681254656.0,179737008839869.0
Giấy tờ có giả,Giấy tờ có giả,Giấy tờ có giả,31.257.782.501.425,24.469.745.569.069,31257782501425.0,24469745569069.0
Động sản,Động sản,Động sản,27.460.989.050.092,26.864.575.508.580,27460989050092.0,26864575508580.0
Tài sản khác,Tài sản khác,Tài sản khác,63.919.004.099.866,73.697.978.462.476,63919004099866.0,73697978462476.0
,,,337.916.456.906.039,304.769.308.379.994,337916456906039.0,304769308379994.0
