row_label_raw,row_label_full,Related parties,Transactions,Current year VND,Previous year VND,numeric__Transactions,numeric__Current year VND,numeric__Previous year VND
Subsidiary,Subsidiary,Subsidiary,Withdrawal of deposits,"(53,047,486,774)","(17,727,884,721)",,,
Subsidiary,Subsidiary,Subsidiary,Receipt of deposits,"53,547,501,567","13,728,066,458",,,
Subsidiary,Subsidiary > Subsidiary,Subsidiary,Fee income,"260,000","360,000",,260.0,360.0
Subsidiary,Subsidiary,Subsidiary,Interest expenses on deposits,"(1,202,289,092)","(2,311,625,715)",,,
Subsidiary,Subsidiary,Subsidiary,Dividends received from investment,"1,072,015,796",-,,,
"Board of Directors, Board of Supervision, Management and Chief Accountant","Board of Directors, Board of Supervision, Management and Chief Accountant","Board of Directors, Board of Supervision, Management and Chief Accountant",Remuneration and allowances (i),"71,386,920,540","57,532,419,373",,,
"Board of Directors, Board of Supervision, Management and Chief Accountant","Board of Directors, Board of Supervision, Management and Chief Accountant","Board of Directors, Board of Supervision, Management and Chief Accountant",Interest expenses on deposits,"(1,885,403,956)","(5,105,641,352)",,,
