row_label_raw,row_label_full,col_0,Ending balanceVND,Beginning balanceVND,numeric__Ending balanceVND,numeric__Beginning balanceVND
Internal payables,Internal payables,Internal payables,"9,670,775,746","8,355,993,396",,
- Payables to employees,- Payables to employees,- Payables to employees,"9,670,775,746","8,355,993,396",,
External payables,External payables,External payables,"4,965,679,586,830","7,493,589,623,227",,
- Settlement services,- Settlement services,- Settlement services,"4,291,219,908,450","4,657,030,842,725",,
- Tax payables,- Tax payables,- Tax payables,"358,297,008,813","397,507,826,869",,
- Remittance payables,- Remittance payables,- Remittance payables,"56,738,563,534","86,402,277,810",,
- Amounts waiting for settlement,- Amounts waiting for settlement,- Amounts waiting for settlement,"36,245,740,820","507,484,606,668",,
- Dividend payables,- Dividend payables,- Dividend payables,"17,992,908,126","18,021,133,195",,
- Other payables,- Other payables,- Other payables,"205,185,457,087","1,827,142,935,960",,
Bonus and welfare fund (*),Bonus and welfare fund (*),Bonus and welfare fund (*),"163,220,049,733","135,612,076,459",,
,,,"5,138,570,412,309","7,637,557,693,082",,
