row_label_raw,row_label_full,col_0,Quế hạnVND,Không nhay cảm vớilải suấtVND,Đến 1 thángVND,Từ 1 - 3 thángVND,Từ 3 - 6 thángVND,Từ 6 - 12 thángVND,Từ 1 - 5 nămVND,Trên 5nămVND,Tổng cộngVND,numeric__Quế hạnVND,numeric__Không nhay cảm vớilải suấtVND,numeric__Đến 1 thángVND,numeric__Từ 1 - 3 thángVND,numeric__Từ 3 - 6 thángVND,numeric__Từ 6 - 12 thángVND,numeric__Từ 1 - 5 nămVND,numeric__Trên 5nămVND,numeric__Tổng cộngVND
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,,
"Tiền mặt, vàng bạc, đã quý","Tải sản > Tiền mặt, vàng bạc, đã quý","Tiền mặt, vàng bạc, đã quý",-,787.773.771.826,-,-,-,-,-,-,787.773.771.826,,787773771826.0,,,,,,,787773771826.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,2.377.473.012.237,-,-,-,-,-,-,2.377.473.012.237,,2377473012237.0,,,,,,,2377473012237.0
"Tiền, vàng gửi và cho vay các TCTD khác (*)","Tải sản > Tiền, vàng gửi và cho vay các TCTD khác (*)","Tiền, vàng gửi và cho vay các TCTD khác (*)",-,724.808.757.631,35.765.818.500.000,2.525.845.000.000,-,-,109.727.000.000,-,39.126.199.257.631,,724808757631.0,35765818500000.0,2525845000000.0,,,109727000000.0,,39126199257631.0
Cho vay khách hàng và mua nợ - góp,Tải sản > Cho vay khách hàng và mua nợ - góp,Cho vay khách hàng và mua nợ - góp,6.771.271.792.153,-,26.552.738.674.749,61.321.523.311.298,54.224.110.340.273,18.404.423.521.320,8.649.624.323.238,-,175.923.691.963.031,6771271792153.0,,26552738674749.0,61321523311298.0,54224110340273.0,18404423521320.0,8649624323238.0,,175923691963031.0
Chủng khoản đầu tư - góp,Tải sản > Chủng khoản đầu tư - góp,Chủng khoản đầu tư - góp,-,1.500.353.927.457,-,1.022.666.600.000,9.704.000.000.000,23.572.590.000.000,2.026.000.000.000,14.810.000.000.000,52.635.610.527.457,,1500353927457.0,,1022666600000.0,9704000000000.0,23572590000000.0,2026000000000.0,14810000000000.0,52635610527457.0
"Gộp vốn, đầu tư dải hạn","Tải sản > Gộp vốn, đầu tư dải hạn","Gộp vốn, đầu tư dải hạn",-,25.000.000.000,-,-,-,-,-,-,25.000.000.000,,25000000000.0,,,,,,,25000000000.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,-,629.786.003.479,-,-,-,-,-,-,629.786.003.479,,629786003479.0,,,,,,,629786003479.0
Tải sản Có khác - góp,Tải sản > Tải sản Có khác - góp,Tải sản Có khác - góp,4.800.000.000,11.864.722.115.478,-,-,-,-,-,-,11.869.522.115.478,4800000000.0,11864722115478.0,,,,,,,11869522115478.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,6.776.071.792.153,17.909.917.588.108,62.318.557.174.749,64.870.034.911.298,63.928.110.340.273,41.977.013.521.320,10.785.351.323.238,14.810.000.000.000,283.375.056.651.139,6776071792153.0,17909917588108.0,62318557174749.0,64870034911298.0,63928110340273.0,41977013521320.0,10785351323238.0,14810000000000.0,283375056651139.0
