row_label_raw,row_label_full,Name,Position,Current year VND,Previous year VND,numeric__Position,numeric__Current year VND,numeric__Previous year VND
Mr. Trinh Van Tuan,Mr. Trinh Van Tuan,Mr. Trinh Van Tuan,Chairman,"17,905,223,150","13,483,174,000",,,
Mr. Yoshizawa Toshiki,Mr. Yoshizawa Toshiki,Mr. Yoshizawa Toshiki,Member,"1,685,300,000","1,470,400,000",,,
Ms. Trinh Thi Mai Anh,Ms. Trinh Thi Mai Anh,Ms. Trinh Thi Mai Anh,Member,"3,649,150,000","2,670,400,000",,,
Mr. Pham Tri Nguyen,Mr. Pham Tri Nguyen,Mr. Pham Tri Nguyen,Independent Member,"1,123,900,000","930,400,000",,,
Mr. Bui Minh Duc,Mr. Bui Minh Duc,Mr. Bui Minh Duc,Independent Member,"1,123,900,000","930,400,000",,,
Mr. Ngo Ha Bac,Mr. Ngo Ha Bac,Mr. Ngo Ha Bac,Member,"2,248,900,000","2,010,400,000",,,
Mr. Phan Trung,Mr. Phan Trung,Mr. Phan Trung,Member,"1,125,900,000","930,400,000",,,
Mr. Kato Shin,Mr. Kato Shin,Mr. Kato Shin,Member,"1,604,916,439","920,300,000",,,
Mr. Nguyen Dinh Tung,Mr. Nguyen Dinh Tung,Mr. Nguyen Dinh Tung,Member,"11,017,854,500","11,282,562,000",,,
Mr. Pham Hong Hai,Mr. Pham Hong Hai,Mr. Pham Hong Hai,'General Director,"10,484,104,000",-,,,
Other Management members and Chief Accountant,Other Management members and Chief Accountant,Other Management members and Chief Accountant,,"16,534,632,451","20,374,443,373",,,
In which:,In which:,In which:,,,,,,
- Ms. Huynh Le Mai,- Ms. Huynh Le Mai,- Ms. Huynh Le Mai,Deputy General Director,"2,649,401,190","2,375,837,000",,,
- Ms. Nguyen Van Anh,- Ms. Nguyen Van Anh,- Ms. Nguyen Van Anh,Chief Accountant,"157,655,334",-,,,
Total,Total,Total,,"68,503,780,540","55,002,879,373",,,
