row_label_raw,row_label_full,31/12/2022 > Giá trị,31/12/2022 > Dự phòng,01/01/2022 > Giá trị,01/01/2022 > Dự phòng,numeric__31/12/2022 > Dự phòng,numeric__01/01/2022 > Giá trị,numeric__01/01/2022 > Dự phòng
VND,VND,VND,VND,VND,VND,,,
16.922.559.013,VND > 16.922.559.013,16.922.559.013,-,40.255.400,-,,40255400.0,
16.009.223.813,VND > 16.009.223.813,16.009.223.813,-,40.255.400,-,,40255400.0,
676.317.600,676.317.600,676.317.600,-,-,-,,,
236.517.600,236.517.600,236.517.600,-,-,-,,,
500.000,500.000,500.000,-,-,-,,,
1.172.601.482,500.000 > 1.172.601.482,1.172.601.482,-,1.345.976.461,-,,1345976461.0,
266.830.800,500.000 > 266.830.800,266.830.800,-,361.330.800,-,,361330800.0,
495.000.000,495.000.000,495.000.000,-,-,-,,,
410.770.682,495.000.000 > 410.770.682,410.770.682,-,984.645.661,-,,984645661.0,
18.095.160.495,495.000.000 > 18.095.160.495,18.095.160.495,-,1.386.231.861,-,,1386231861.0,
