row_label_raw,row_label_full,col_0,31/12/2022 > Giá trị,31/12/2022 > Số có khả năng trả nợ,01/01/2022 > Giá trị,01/01/2022 > Số có khả năng trả nợ,numeric__31/12/2022 > Giá trị,numeric__31/12/2022 > Số có khả năng trả nợ,numeric__01/01/2022 > Giá trị,numeric__01/01/2022 > Số có khả năng trả nợ
,,,VND,VND,VND,VND,,,,
Bên liên quan,Bên liên quan,Bên liên quan,122.369.413.274,122.369.413.274,39.210.021.982,39.210.021.982,122369413274.0,122369413274.0,39210021982.0,39210021982.0
- Công ty TNHH MTV Cao su Lộc Ninh,- Công ty TNHH MTV Cao su Lộc Ninh,- Công ty TNHH MTV Cao su Lộc Ninh,14.174.785.989,14.174.785.989,-,-,14174785989.0,14174785989.0,,
"- C.R.C.K.2 APHIVATH CAOUTCHOUC CO., LTD","- C.R.C.K.2 APHIVATH CAOUTCHOUC CO., LTD","- C.R.C.K.2 APHIVATH CAOUTCHOUC CO., LTD",29.241.636.480,29.241.636.480,31.564.951.085,31.564.951.085,29241636480.0,29241636480.0,31564951085.0,31564951085.0
- Công ty TNHH MTV Cao su Chư Prông,- Công ty TNHH MTV Cao su Chư Prông,- Công ty TNHH MTV Cao su Chư Prông,10.144.764.000,10.144.764.000,-,-,10144764000.0,10144764000.0,,
- Công ty TNHH MTV Cao Su Mang Yang,- Công ty TNHH MTV Cao Su Mang Yang,- Công ty TNHH MTV Cao Su Mang Yang,7.101.863.999,7.101.863.999,-,-,7101863999.0,7101863999.0,,
- Viện nghiên cứu cao su,- Viện nghiên cứu cao su,- Viện nghiên cứu cao su,14.548.328.400,14.548.328.400,2.438.265.950,2.438.265.950,14548328400.0,14548328400.0,2438265950.0,2438265950.0
- Bên liên quan khác,- Bên liên quan khác,- Bên liên quan khác,47.158.034.406,47.158.034.406,5.206.804.947,5.206.804.947,47158034406.0,47158034406.0,5206804947.0,5206804947.0
Bên khác,Bên khác,Bên khác,6.333.666.995,6.333.666.995,2.051.804.291,2.051.804.291,6333666995.0,6333666995.0,2051804291.0,2051804291.0
- Công ty Cổ phần Thương mại Dịch Vụ Xuất nhập khẩu và Du lịch Cược Sống Việt,- Công ty Cổ phần Thương mại Dịch Vụ Xuất nhập khẩu và Du lịch Cược Sống Việt,- Công ty Cổ phần Thương mại Dịch Vụ Xuất nhập khẩu và Du lịch Cược Sống Việt,1.336.280.000,1.336.280.000,-,-,1336280000.0,1336280000.0,,
- Phải trả người bán khác,- Phải trả người bán khác,- Phải trả người bán khác,4.997.386.995,4.997.386.995,2.051.804.291,2.051.804.291,4997386995.0,4997386995.0,2051804291.0,2051804291.0
