row_label_raw,row_label_full,col_0,col_1,01/01/2022 > Giá trịVND,01/01/2022 > Dự phòngVND,Trong ký > TăngVND,Trong ký > GiảmVND,31/12/2022 > Giá trịVND,31/12/2022 > Dự phòngVND,numeric__col_1,numeric__01/01/2022 > Giá trịVND,numeric__01/01/2022 > Dự phòngVND,numeric__Trong ký > TăngVND,numeric__Trong ký > GiảmVND,numeric__31/12/2022 > Giá trịVND,numeric__31/12/2022 > Dự phòngVND
Ngắn hạn (tiếp theo),Ngắn hạn (tiếp theo),Ngắn hạn (tiếp theo),Ngắn hạn (tiếp theo),Ngắn hạn (tiếp theo),Ngắn hạn (tiếp theo),Ngắn hạn (tiếp theo),Ngắn hạn (tiếp theo),Ngắn hạn (tiếp theo),Ngắn hạn (tiếp theo),,,,,,,
-,Ngắn hạn (tiếp theo) > -,-,Công ty TNHH MTV Cao su Quảng Ngãi,494.963.792,-,494.963.792,494.963.792,494.963.792,-,,494963792.0,,494963792.0,494963792.0,494963792.0,
-,Ngắn hạn (tiếp theo) > -,-,Công ty TNHH MTV Cao su Hà Tĩnh,1.483.509.975,-,989.006.650,1.303.692.503,1.168.824.122,-,,1483509975.0,,989006650.0,1303692503.0,1168824122.0,
-,Ngắn hạn (tiếp theo) > -,-,Công ty TNHH MTV Cao su Thanh Hóa,1.124.388.000,(84.329.100),562.194.000,1.124.388.000,562.194.000,(84.329.100),,1124388000.0,-84329100.0,562194000.0,1124388000.0,562194000.0,-84329100.0
-,Ngắn hạn (tiếp theo) > -,-,Công ty TNHH MTV Cao su Hương Khê Hà Tĩnh,19.681.881.554,(2.117.101.915),63.997.295.952,2.028.559.615,81.650.617.891,(2.117.101.915),,19681881554.0,-2117101915.0,63997295952.0,2028559615.0,81650617891.0,-2117101915.0
