row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2022,Năm 2021,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2022,numeric__Năm 2021
,,,,,VND,VND,,,,
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,21,1.713.971.779.183,1.325.680.174.626,,21.0,1713971779183.0,1325680174626.0
02,02,02,2. Các khoản giảm trừ doanh thu,,-,-,,,,
10,02 > 10,10,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,,1.713.971.779.183,1.325.680.174.626,,,1713971779183.0,1325680174626.0
11,02 > 11,11,4. Giá vốn hàng bán,22,1.624.754.056.251,1.237.185.655.105,,22.0,1624754056251.0,1237185655105.0
20,02 > 20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,89.217.722.932,88.494.519.521,,,89217722932.0,88494519521.0
21,02 > 21,21,6. Doanh thu hoạt động tài chính,23,2.121.934.479.895,2.639.069.961.131,,23.0,2121934479895.0,2639069961131.0
22,02 > 22,22,7. Chi phí tài chính,24,300.217.008.345,15.127.835.900,,24.0,300217008345.0,15127835900.0
23,02 > 23,23,Trong đó: Chi phí lãi vay,,9.884.975.095,12.680.803.002,,,9884975095.0,12680803002.0
25,02 > 25,25,8. Chi phí bán hàng,25,3.191.312.516,1.962.982.595,,25.0,3191312516.0,1962982595.0
26,02 > 26,26,9. Chi phí quản lý doanh nghiệp,26,181.835.726.938,181.164.953.653,,26.0,181835726938.0,181164953653.0
30,02 > 30,30,10. Lợi nhuận thuần từ hoạt động kinh doanh,,1.725.908.155.028,2.529.308.708.504,,,1725908155028.0,2529308708504.0
31,02 > 31,31,11. Thu nhập khác,27,9.321.241.181,5.345.377.599,,27.0,9321241181.0,5345377599.0
32,02 > 32,32,12. Chi phí khác,28,4.585.349.285,200.494.000.000,,28.0,4585349285.0,200494000000.0
40,02 > 40,40,13. Lợi nhuận khác,,4.735.891.896,(195.148.622.401),,,4735891896.0,-195148622401.0
50,02 > 50,50,14. Tổng lợi nhuận kế toán trước thuế,,1.730.644.046.924,2.334.160.086.103,,,1730644046924.0,2334160086103.0
51,02 > 51,51,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,29,-,-,,29.0,,
60,02 > 60,60,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,,1.730.644.046.924,2.334.160.086.103,,,1730644046924.0,2334160086103.0
