row_label_raw,row_label_full,col_0,Số lượng,Số lượng_1,numeric__Số lượng,numeric__Số lượng_1
,,,31/12/2022,01/01/2022,,
Cổ phiếu của Công ty Cổ phần Đầu tư Sài Gòn VRG,Cổ phiếu của Công ty Cổ phần Đầu tư Sài Gòn VRG,Cổ phiếu của Công ty Cổ phần Đầu tư Sài Gòn VRG,1.611.148,1.611.148,1611148.0,1611148.0
Cổ phiếu của Công ty Cổ phần Khu Công nghiệp Nam Tân Uyên,Cổ phiếu của Công ty Cổ phần Khu Công nghiệp Nam Tân Uyên,Cổ phiếu của Công ty Cổ phần Khu Công nghiệp Nam Tân Uyên,1.633.500,1.633.500,1633500.0,1633500.0
TỔNG DOANH THU BÁN HÀNG VÀ CUNG CÁP ĐỊCH VỤ,TỔNG DOANH THU BÁN HÀNG VÀ CUNG CÁP ĐỊCH VỤ,TỔNG DOANH THU BÁN HÀNG VÀ CUNG CÁP ĐỊCH VỤ,Năm 2022,Năm 2021,,
TỔNG DOANH THU BÁN HÀNG VÀ CUNG CÁP ĐỊCH VỤ,TỔNG DOANH THU BÁN HÀNG VÀ CUNG CÁP ĐỊCH VỤ,TỔNG DOANH THU BÁN HÀNG VÀ CUNG CÁP ĐỊCH VỤ,VND,VND,,
Doanh thu bán hàng hoá,TỔNG DOANH THU BÁN HÀNG VÀ CUNG CÁP ĐỊCH VỤ > Doanh thu bán hàng hoá,Doanh thu bán hàng hoá,1.630.451.300.891,1.240.219.606.776,1630451300891.0,1240219606776.0
Doanh thu cung cấp dịch vụ,TỔNG DOANH THU BÁN HÀNG VÀ CUNG CÁP ĐỊCH VỤ > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,23.215.955.205,21.290.342.055,23215955205.0,21290342055.0
Phí quản lý từ các đơn vị thành viên,TỔNG DOANH THU BÁN HÀNG VÀ CUNG CÁP ĐỊCH VỤ > Phí quản lý từ các đơn vị thành viên,Phí quản lý từ các đơn vị thành viên,60.304.523.087,64.170.225.795,60304523087.0,64170225795.0
,,,1.713.971.779.183,1.325.680.174.626,1713971779183.0,1325680174626.0
Trong đó: Doanh thu đối với các bên liên quan,TỔNG DOANH THU BÁN HÀNG VÀ CUNG CÁP ĐỊCH VỤ > Trong đó: Doanh thu đối với các bên liên quan,Trong đó: Doanh thu đối với các bên liên quan,87.630.865.694,95.694.085.669,87630865694.0,95694085669.0
