row_label_raw,row_label_full,a),Ngoại tệ các loại,31/12/2022,01/01/2022,numeric__Ngoại tệ các loại,numeric__31/12/2022,numeric__01/01/2022
,,,- Đô la Mỹ (USD),"2.539.731,74","3.080.794,39",,2539731.74,3080794.39
,,,- Đồng tiền chung Châu Âu (EUR),"0,48","0,48",,0.48,0.48
b),b),b),Nợ khó đòi đã xử lý,31/12/2022,01/01/2022,,,
,,,,VND,VND,,,
,,,- Các khách hàng tại Văn phòng Tập đoàn,6.071.513.101,6.071.513.101,,6071513101.0,6071513101.0
,,,- Các khách hàng tại Công ty Tài chính Cao su,69.264.656.253,69.264.656.253,,69264656253.0,69264656253.0
