row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụ quản lý","Cộng,","numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụ quản lý","numeric__Cộng,"
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu kỳ,Nguyên giá > Số dư đầu kỳ,Số dư đầu kỳ,157.774.809.642,4.708.703.255,23.147.968.932,70.715.803.062,256.347.284.891,157774809642.0,4708703255.0,23147968932.0,70715803062.0,256347284891.0
- Mua trong kỳ,Nguyên giá > - Mua trong kỳ,- Mua trong kỳ,-,-,7.334.882.272,-,7.334.882.272,,,7334882272.0,,7334882272.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(3.430.598.139),-,(3.430.598.139),,,-3430598139.0,,-3430598139.0
Số dư cuối kỳ,Nguyên giá > Số dư cuối kỳ,Số dư cuối kỳ,157.774.809.642,4.708.703.255,27.052.253.065,70.715.803.062,260.251.569.024,157774809642.0,4708703255.0,27052253065.0,70715803062.0,260251569024.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu kỳ,Giá trị hao mòn lũy kế > Số dư đầu kỳ,Số dư đầu kỳ,59.532.788.809,4.608.703.253,19.437.891.824,70.705.605.832,154.284.989.718,59532788809.0,4608703253.0,19437891824.0,70705605832.0,154284989718.0
- Khấu hao trong kỳ,Giá trị hao mòn lũy kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,6.024.533.676,39.999.996,1.463.450.185,10.197.230,7.538.181.087,6024533676.0,39999996.0,1463450185.0,10197230.0,7538181087.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(3.430.598.139),-,(3.430.598.139),,,-3430598139.0,,-3430598139.0
Số dư cuối kỳ,Giá trị hao mòn lũy kế > Số dư cuối kỳ,Số dư cuối kỳ,65.557.322.485,4.648.703.249,17.470.743.870,70.715.803.062,158.392.572.666,65557322485.0,4648703249.0,17470743870.0,70715803062.0,158392572666.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu kỳ,Giá trị còn lại > Tại ngày đầu kỳ,Tại ngày đầu kỳ,98.242.020.833,100.000.002,3.710.077.108,10.197.230,102.062.295.173,98242020833.0,100000002.0,3710077108.0,10197230.0,102062295173.0
Tại ngày cuối kỳ,Giá trị còn lại > Tại ngày cuối kỳ,Tại ngày cuối kỳ,92.217.487.157,60.000.006,9.581.509.195,-,101.858.996.358,92217487157.0,60000006.0,9581509195.0,,101858996358.0
