row_label_raw,row_label_full,col_0,Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Tổng cộngVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,61.967.122.023,1.198.728.546,63.165.850.569,61967122023.0,1198728546.0,63165850569.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,40.451.769.207,322.666.674,40.774.435.881,40451769207.0,322666674.0,40774435881.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,12.750.815.362,-,12.750.815.362,12750815362.0,,12750815362.0
Chuyển từ tài sản cố định hữu hình,Nguyên giá > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,43.816.622.581,-,43.816.622.581,43816622581.0,,43816622581.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,158.986.329.173,1.521.395.220,160.507.724.393,158986329173.0,1521395220.0,160507724393.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,8.763.009.106,139.851.670,8.902.860.776,8763009106.0,139851670.0,8902860776.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,7.173.001.000,201.696.038,7.374.697.038,7173001000.0,201696038.0,7374697038.0
Chuyển từ tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,23.267.457.823,-,23.267.457.823,23267457823.0,,23267457823.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,39.203.467.929,341.547.708,39.545.015.637,39203467929.0,341547708.0,39545015637.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,53.204.112.917,1.058.876.876,54.262.989.793,53204112917.0,1058876876.0,54262989793.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,119.782.861.244,1.179.847.512,120.962.708.756,119782861244.0,1179847512.0,120962708756.0
