row_label_raw,row_label_full,STT > Công ty con của Công ty Cổ phần Bông Việt Nam,Tên đơn vị > Công ty con của Công ty Cổ phần Bông Việt Nam,Tổng tỷ lệ sở hữu của Tập đoàn > 31/12/2019,Tổng tỷ lệ sở hữu của Tập đoàn > 1/1/2019,Tỷ lệ sở hữu của công ty mẹ trực tiếp > 31/12/2019,Tỷ lệ sở hữu của công ty mẹ trực tiếp > 1/1/2019,Giá trị đầu tư của công ty mẹ trực tiếp theo mệnh giá gốc khoản đầu tư VND > 31/12/2019,Giá trị đầu tư của công ty mẹ trực tiếp theo mệnh giá gốc khoản đầu tư VND > 1/1/2019,Giá trị đầu tư của các công ty khác trong Tập đoàn theo giá gốc khoản đầu tư VND > 31/12/2019,Giá trị đầu tư của các công ty khác trong Tập đoàn theo giá gốc khoản đầu tư VND > 1/1/2019,numeric__Tên đơn vị > Công ty con của Công ty Cổ phần Bông Việt Nam,numeric__Tổng tỷ lệ sở hữu của Tập đoàn > 31/12/2019,numeric__Tổng tỷ lệ sở hữu của Tập đoàn > 1/1/2019,numeric__Tỷ lệ sở hữu của công ty mẹ trực tiếp > 31/12/2019,numeric__Tỷ lệ sở hữu của công ty mẹ trực tiếp > 1/1/2019,numeric__Giá trị đầu tư của công ty mẹ trực tiếp theo mệnh giá gốc khoản đầu tư VND > 31/12/2019,numeric__Giá trị đầu tư của công ty mẹ trực tiếp theo mệnh giá gốc khoản đầu tư VND > 1/1/2019,numeric__Giá trị đầu tư của các công ty khác trong Tập đoàn theo giá gốc khoản đầu tư VND > 31/12/2019,numeric__Giá trị đầu tư của các công ty khác trong Tập đoàn theo giá gốc khoản đầu tư VND > 1/1/2019
,,,Công ty Cổ phần Bông Tây Nguyên (iii),-,"29,80%",-,"54,18%",-,5.169.025.696,-,-,,,0.298,,0.5418,,5169025696.0,,
,,,Công ty Cổ phần Bông & Kinh doanh Tổng hợp Miền Trung (iii),-,"42,91%",-,"49,81%",-,6.524.366.514,-,4.308.702.000,,,0.4291,,0.49810000000000004,,6524366514.0,,4308702000.0
,,,Công ty Cổ phần Giống cây trồng Nha Hồ (iii),-,"29,70%",-,"54,00%",-,11.995.261.380,-,-,,,0.297,,0.54,,11995261380.0,,
Công ty con của Công ty Cổ phần Đầu tư Phát triển Vinatex,Công ty con của Công ty Cổ phần Đầu tư Phát triển Vinatex,Công ty con của Công ty Cổ phần Đầu tư Phát triển Vinatex,Công ty con của Công ty Cổ phần Đầu tư Phát triển Vinatex,Công ty con của Công ty Cổ phần Đầu tư Phát triển Vinatex,Công ty con của Công ty Cổ phần Đầu tư Phát triển Vinatex,Công ty con của Công ty Cổ phần Đầu tư Phát triển Vinatex,Công ty con của Công ty Cổ phần Đầu tư Phát triển Vinatex,Công ty con của Công ty Cổ phần Đầu tư Phát triển Vinatex,Công ty con của Công ty Cổ phần Đầu tư Phát triển Vinatex,Công ty con của Công ty Cổ phần Đầu tư Phát triển Vinatex,Công ty con của Công ty Cổ phần Đầu tư Phát triển Vinatex,,,,,,,,,
,,,Công ty Cổ phần May Nam An (iii),-,"31,50%",-,"64,33%",-,15.440.000.000,-,-,,,0.315,,0.6433,,15440000000.0,,
,,,Công ty TNHH May Vinatex Tư Nghĩa (iii),-,"36,72%",-,"75,00%",-,22.500.000.000,-,-,,,0.36719999999999997,,0.75,,22500000000.0,,
,,,Công ty TNHH May Vinatex Bồng Sơn (iii),-,"48,97%",-,100%,-,30.000.000.000,-,-,,,0.48969999999999997,,1.0,,30000000000.0,,
Công ty con của Tổng Công ty Cổ phần Phong Phú,Công ty con của Tổng Công ty Cổ phần Phong Phú,Công ty con của Tổng Công ty Cổ phần Phong Phú,Công ty con của Tổng Công ty Cổ phần Phong Phú,,,,,,,,,,,,,,,,,
,,,Công ty Cổ phần Đệt Đông Nam (ii),-,"30,55%",-,"60,99%",-,42.872.026.710,-,-,,,0.3055,,0.6099,,42872026710.0,,
,,,Công ty Cổ phần Đệt May Nha Trang (ii),-,"26,04%",-,"51,97%",-,121.530.712.643,-,-,,,0.26039999999999996,,0.5196999999999999,,121530712643.0,,
10,Công ty con của Tổng Công ty Cổ phần Phong Phú > 10,10,Công ty Cổ phần Đệt gia dụng Phong Phú (trước đây là Công ty Cổ phần Đệt May Quảng Phú) (iv),"44,39%","35,57%","88,61%",71%,200.527.468.554,105.750.000.000,-,-,,0.4439,0.3557,0.8861,0.71,200527468554.0,105750000000.0,,
